Account Code,Actual,Fund,Department,Division,Function,Cost Center
450037,3,6260,90,900,90,0000
450304,0,6260,90,900,90,0000
450306,-41939.08,6260,90,900,90,0000
450307,-173800,6260,90,900,90,0000
450308,-127570.58,6260,90,900,90,0000
450309,-29000,6260,90,900,90,0000
450310,-10000,6260,90,900,90,0000
450313,-216248,6260,90,900,90,0000
450318,-49150,6260,90,900,90,0000
450320,-19800,6260,90,900,90,0000
450351,0,6260,90,900,90,0000
450519,-2202,6260,90,900,90,0000
450602,0,6260,90,900,90,0000
460000,-1857,6260,90,900,90,0000
486000,0,6260,90,900,90,0000
488003,-74909.53,6260,90,900,90,0000
488014,0,6260,90,900,90,0000
489000,-54480.72,6260,90,900,90,0000
499100,0,6260,90,900,90,0000
499101,0,6260,90,900,90,0000
511001,180347.88,6260,90,900,90,0000
511002,0,6260,90,900,90,0000
511004,0,6260,90,900,90,0000
511010,2272.08,6260,90,900,90,0000
512001,13508.76,6260,90,900,90,0000
512002,12080.17,6260,90,900,90,0000
512005,8839.74,6260,90,900,90,0000
512010,36807.97,6260,90,900,90,0000
512011,0,6260,90,900,90,0000
512012,1206.62,6260,90,900,90,0000
512014,21894.78,6260,90,900,90,0000
512020,1296,6260,90,900,90,0000
512024,0,6260,90,900,90,0000
521001,156581.58,6260,90,900,90,0000
521002,0,6260,90,900,90,0000
521004,3617.74,6260,90,900,90,0000
521006,42824.79,6260,90,900,90,0000
521008,938.19,6260,90,900,90,0000
521009,850,6260,90,900,90,0000
522001,20216.62,6260,90,900,90,0000
522002,16679.19,6260,90,900,90,0000
522003,3999.52,6260,90,900,90,0000
522004,300,6260,90,900,90,0000
523001,6095.83,6260,90,900,90,0000
523002,2780.94,6260,90,900,90,0000
524001,9584.97,6260,90,900,90,0000
524003,141.96,6260,90,900,90,0000
524005,2983.82,6260,90,900,90,0000
524009,218.8,6260,90,900,90,0000
524101,3548.4,6260,90,900,90,0000
525001,20069.04,6260,90,900,90,0000
528001,65,6260,90,900,90,0000
528502,26713.28,6260,90,900,90,0000
528504,0,6260,90,900,90,0000
528505,3640.91,6260,90,900,90,0000
528506,0,6260,90,900,90,0000
528507,0,6260,90,900,90,0000
528508,171062.52,6260,90,900,90,0000
528510,41194.29,6260,90,900,90,0000
528512,0,6260,90,900,90,0000
528514,0,6260,90,900,90,0000
528522,28352.34,6260,90,900,90,0000
571001,1452.07,6260,90,900,90,0000
571002,232.64,6260,90,900,90,0000
571004,0,6260,90,900,90,0000
571999,-10.32,6260,90,900,90,0000
574006,0,6260,90,900,90,0000
574008,0,6260,90,900,90,0000
711101,157975.54,6260,90,900,90,0000
712101,108846.39,6260,90,900,90,0000
498101,-662594,6260,90,900,99,0000
800627,0,6260,90,900,99,0000
450512,-131846.45,6260,90,901,90,0000
511001,51823.65,6260,90,901,90,0000
