Account Code,Actual,Fund,Department,Division,Function,Cost Center
511003,137031.13,1100,01,011,01,0000
512001,9365.15,1100,01,011,01,0000
512012,0,1100,01,011,01,0000
512014,0,1100,01,011,01,0000
512016,0,1100,01,011,01,0000
512018,0,1100,01,011,01,0000
521002,0,1100,01,011,01,0000
521008,0,1100,01,011,01,0000
521009,0,1100,01,011,01,0000
522002,0,1100,01,011,01,0000
523001,17819.12,1100,01,011,01,0000
523002,928.15,1100,01,011,01,0000
524001,0,1100,01,011,01,0000
524004,132.9,1100,01,011,01,0000
525001,10000,1100,01,011,01,0000
528010,1000,1100,01,011,01,0000
528502,1344,1100,01,011,01,0000
528505,0,1100,01,011,01,0000
450000,-132.5,1100,01,012,01,0000
450001,-1215,1100,01,012,01,0000
511001,82346.91,1100,01,012,01,0000
512001,6262.38,1100,01,012,01,0000
512002,5665.35,1100,01,012,01,0000
512005,4117.28,1100,01,012,01,0000
512012,2409.29,1100,01,012,01,0000
512014,8925,1100,01,012,01,0000
521001,0,1100,01,012,01,0000
521002,0,1100,01,012,01,0000
521008,0,1100,01,012,01,0000
522001,0,1100,01,012,01,0000
523001,290.04,1100,01,012,01,0000
523002,275,1100,01,012,01,0000
524001,548.17,1100,01,012,01,0000
528502,192,1100,01,012,01,0000
450000,0,1100,01,013,01,0000
511001,377966.24,1100,01,013,01,0000
511003,23440.49,1100,01,013,01,0000
511004,0,1100,01,013,01,0000
511010,252.89,1100,01,013,01,0000
512001,24478.29,1100,01,013,01,0000
512002,27487.84,1100,01,013,01,0000
512005,24239.57,1100,01,013,01,0000
512006,3380.72,1100,01,013,01,0000
512010,0,1100,01,013,01,0000
512011,0,1100,01,013,01,0000
512012,13250.96,1100,01,013,01,0000
512014,40698,1100,01,013,01,0000
512020,0,1100,01,013,01,0000
512024,0,1100,01,013,01,0000
521002,0,1100,01,013,01,0000
521004,5665.29,1100,01,013,01,0000
521008,0,1100,01,013,01,0000
521009,0,1100,01,013,01,0000
522002,0,1100,01,013,01,0000
523001,10329.94,1100,01,013,01,0000
523002,3102.98,1100,01,013,01,0000
524001,11718.65,1100,01,013,01,0000
524004,200.42,1100,01,013,01,0000
524009,930.68,1100,01,013,01,0000
525001,6000,1100,01,013,01,0000
528003,0,1100,01,013,01,0000
528502,2304.09,1100,01,013,01,0000
528505,2169.71,1100,01,013,01,0000
528506,0,1100,01,013,01,0000
450500,-2750,1100,01,014,01,0000
511001,260532.52,1100,01,014,01,0000
511002,0,1100,01,014,01,0000
511003,12225.85,1100,01,014,01,0000
511004,469.34,1100,01,014,01,0000
512001,19269.96,1100,01,014,01,0000
512002,17956.44,1100,01,014,01,0000
512005,13049.81,1100,01,014,01,0000
512014,76531,1100,01,014,01,0000
521001,16160.8,1100,01,014,01,0000
521006,17930.36,1100,01,014,01,0000
521008,0,1100,01,014,01,0000
523001,2022.85,1100,01,014,01,0000
523002,210.47,1100,01,014,01,0000
524001,8250.28,1100,01,014,01,0000
524005,712.95,1100,01,014,01,0000
524009,88026.4,1100,01,014,01,0000
528001,0,1100,01,014,01,0000
528502,807.24,1100,01,014,01,0000
528505,4374.27,1100,01,014,01,0000
528999,16000,1100,01,014,01,0000
571001,764.94,1100,01,014,01,0000
571002,0,1100,01,014,01,0000
574007,-59860.84,1100,01,014,01,0000
437100,0,1100,01,015,01,0000
450000,0,1100,01,015,01,0000
511001,208699.62,1100,01,015,01,0000
