Account Code,Actual,Fund,Department,Division,Function,Cost Center
435000,0,6500,21,950,95,0000
435100,0,6500,21,950,95,0000
435505,-93393.11,6500,21,950,95,0000
435507,-1721642,6500,21,950,95,0000
435516,-109394,6500,21,950,95,0000
435521,-1992,6500,21,950,95,0000
436000,-628411,6500,21,950,95,0000
436505,-11673.89,6500,21,950,95,0000
437000,-849.68,6500,21,950,95,0000
437100,0,6500,21,950,95,0000
450604,0,6500,21,950,95,0000
460000,4317.24,6500,21,950,95,0000
483304,-16200,6500,21,950,95,0000
489000,0,6500,21,950,95,0000
499100,0,6500,21,950,95,0000
511001,156564.83,6500,21,950,95,0000
511003,900,6500,21,950,95,0000
511004,0,6500,21,950,95,0000
511010,315.79,6500,21,950,95,0000
512001,11170.44,6500,21,950,95,0000
512002,10561.17,6500,21,950,95,0000
512005,7828.34,6500,21,950,95,0000
512010,0,6500,21,950,95,0000
512011,0,6500,21,950,95,0000
512014,26104.63,6500,21,950,95,0000
512024,0,6500,21,950,95,0000
521001,8182.53,6500,21,950,95,0000
521002,2400,6500,21,950,95,0000
521004,0,6500,21,950,95,0000
521005,684.6,6500,21,950,95,0000
521008,33.7,6500,21,950,95,0000
521009,0,6500,21,950,95,0000
523001,2397.66,6500,21,950,95,0000
523002,969,6500,21,950,95,0000
524001,291.55,6500,21,950,95,0000
524009,179.34,6500,21,950,95,0000
524101,969.21,6500,21,950,95,0000
525001,108828.97,6500,21,950,95,0000
527102,253556,6500,21,950,95,0000
528001,90847.49,6500,21,950,95,0000
528005,-1291.56,6500,21,950,95,0000
528013,0,6500,21,950,95,0000
528301,0,6500,21,950,95,0000
528502,2550.98,6500,21,950,95,0000
528503,0,6500,21,950,95,0000
528504,8488.8,6500,21,950,95,0000
528505,578.61,6500,21,950,95,0000
528999,200,6500,21,950,95,0000
571001,0,6500,21,950,95,0000
571004,0,6500,21,950,95,0000
573001,0,6500,21,950,95,0000
574006,0,6500,21,950,95,0000
574008,0,6500,21,950,95,0000
614101,0,6500,21,950,95,0000
712101,0,6500,21,950,95,0000
435000,0,6500,21,950,95,9500
435507,-223676,6500,21,950,95,9500
435516,-33128,6500,21,950,95,9500
521001,0,6500,21,950,95,9500
524001,0,6500,21,950,95,9500
524003,0,6500,21,950,95,9500
524005,0,6500,21,950,95,9500
524006,0,6500,21,950,95,9500
528502,0,6500,21,950,95,9500
528505,0,6500,21,950,95,9500
498200,2565,6500,21,950,99,0000
498201,0,6500,21,950,99,0000
498638,0,6500,21,950,99,0000
498641,0,6500,21,950,99,0000
800651,56323.95,6500,21,950,99,0000
433100,0,6500,21,951,95,0000
435000,0,6500,21,951,95,0000
436000,0,6500,21,951,95,0000
442800,-318605.25,6500,21,951,95,0000
450600,-657776.57,6500,21,951,95,0000
450601,0,6500,21,951,95,0000
450602,-1850,6500,21,951,95,0000
450603,-142369.16,6500,21,951,95,0000
486000,0,6500,21,951,95,0000
489000,0,6500,21,951,95,0000
499101,0,6500,21,951,95,0000
521001,8349.51,6500,21,951,95,0000
521002,3085,6500,21,951,95,0000
521004,0,6500,21,951,95,0000
521006,0,6500,21,951,95,0000
521014,228148.58,6500,21,951,95,0000
521015,4370703.23,6500,21,951,95,0000
522002,120.01,6500,21,951,95,0000
522003,0,6500,21,951,95,0000
523001,0,6500,21,951,95,0000
523002,0,6500,21,951,95,0000
524001,12284.44,6500,21,951,95,0000
524003,113.4,6500,21,951,95,0000
524005,3255.85,6500,21,951,95,0000
524006,63262.63,6500,21,951,95,0000
524009,254.78,6500,21,951,95,0000
524101,4205.92,6500,21,951,95,0000
528001,0,6500,21,951,95,0000
528502,176.16,6500,21,951,95,0000
528508,0,6500,21,951,95,0000
528522,0,6500,21,951,95,0000
571001,32,6500,21,951,95,0000
571002,456522.48,6500,21,951,95,0000
571999,-20276.09,6500,21,951,95,0000
581091,0,6500,21,951,95,0000
614101,19658.22,6500,21,951,95,0000
498100,-985295.04,6500,21,951,99,0000
498101,0,6500,21,951,99,0000
498401,0,6500,21,951,99,0000
498620,0,6500,21,951,99,0000
498633,-616875,6500,21,951,99,0000
498638,-44074,6500,21,951,99,0000
486100,0,6500,21,999,95,0000
499910,0,6500,21,999,95,0000
511001,710.83,6500,21,999,95,0000
512001,54.38,6500,21,999,95,0000
512002,161.47,6500,21,999,95,0000
512005,35.54,6500,21,999,95,0000
512019,3364.61,6500,21,999,95,0000
512024,0,6500,21,999,95,0000
581091,789848.4,6500,21,999,95,0000
612101,-106546.44,6500,21,999,95,0000
614101,-3942281.7,6500,21,999,95,0000
616101,0,6500,21,999,95,0000
800910,0,6500,21,999,95,0000
