Account Code,Actual,Fund,Department,Division,Function,Cost Center
460000,-4126.57,6200,21,220,20,0000
482401,0,6200,21,220,20,0000
482403,-389414.21,6200,21,220,20,0000
482404,-584548.37,6200,21,220,20,0000
482405,-272916.03,6200,21,220,20,0000
482406,-680241,6200,21,220,20,0000
482480,25,6200,21,220,20,0000
482482,-32.26,6200,21,220,20,0000
484400,-24640,6200,21,220,20,0000
486000,0,6200,21,220,20,0000
489000,0,6200,21,220,20,0000
492002,0,6200,21,220,20,0000
492003,0,6200,21,220,20,0000
499100,0,6200,21,220,20,0000
499101,0,6200,21,220,20,0000
511001,231210.13,6200,21,220,20,0000
511002,0,6200,21,220,20,0000
511003,23362,6200,21,220,20,0000
511004,6353.62,6200,21,220,20,0000
511008,400.46,6200,21,220,20,0000
511010,1005.58,6200,21,220,20,0000
512001,19394.35,6200,21,220,20,0000
512002,15776.55,6200,21,220,20,0000
512005,11642.81,6200,21,220,20,0000
512010,16202.03,6200,21,220,20,0000
512011,0,6200,21,220,20,0000
512012,1219.69,6200,21,220,20,0000
512014,60320.57,6200,21,220,20,0000
512024,0,6200,21,220,20,0000
521001,0,6200,21,220,20,0000
521004,1890,6200,21,220,20,0000
521005,701.4,6200,21,220,20,0000
521006,0,6200,21,220,20,0000
521007,461.5,6200,21,220,20,0000
521008,3274.72,6200,21,220,20,0000
521009,0,6200,21,220,20,0000
521010,169341.67,6200,21,220,20,0000
522001,61242.96,6200,21,220,20,0000
522002,27023.56,6200,21,220,20,0000
522003,42751.9,6200,21,220,20,0000
522006,215.13,6200,21,220,20,0000
523001,403.14,6200,21,220,20,0000
523002,75,6200,21,220,20,0000
524001,12735.66,6200,21,220,20,0000
524003,0,6200,21,220,20,0000
524005,2708.49,6200,21,220,20,0000
524101,36268.52,6200,21,220,20,0000
525001,28583.03,6200,21,220,20,0000
528001,570.84,6200,21,220,20,0000
528005,40407.32,6200,21,220,20,0000
528008,224.56,6200,21,220,20,0000
528012,33,6200,21,220,20,0000
528201,50,6200,21,220,20,0000
528202,-12830.6,6200,21,220,20,0000
528502,7657.32,6200,21,220,20,0000
528503,0,6200,21,220,20,0000
528508,114056.46,6200,21,220,20,0000
528512,0,6200,21,220,20,0000
528514,0,6200,21,220,20,0000
528522,2616.8,6200,21,220,20,0000
571001,16804.42,6200,21,220,20,0000
571002,8272.99,6200,21,220,20,0000
571004,0,6200,21,220,20,0000
571999,-703.27,6200,21,220,20,0000
573001,5024.01,6200,21,220,20,0000
574006,0,6200,21,220,20,0000
574008,0,6200,21,220,20,0000
581091,0,6200,21,220,20,0000
614101,0,6200,21,220,20,0000
616101,0,6200,21,220,20,0000
711101,480863.63,6200,21,220,20,0000
711150,0,6200,21,220,20,0000
712101,320420.4,6200,21,220,20,0000
712201,0,6200,21,220,20,0000
712210,0,6200,21,220,20,0000
800110,120000,6200,21,220,99,0000
800650,616875,6200,21,220,99,0000
450010,0,6200,21,221,20,0000
450312,-611.94,6200,21,221,20,0000
482400,-45240.8,6200,21,221,20,0000
482407,-28247.55,6200,21,221,20,0000
482408,-24061.18,6200,21,221,20,0000
482409,-2200,6200,21,221,20,0000
482410,-1091539.82,6200,21,221,20,0000
482411,-16550.15,6200,21,221,20,0000
482412,0,6200,21,221,20,0000
482420,-30.8,6200,21,221,20,0000
482450,60720,6200,21,221,20,0000
482451,-9802.58,6200,21,221,20,0000
482456,-476109.96,6200,21,221,20,0000
482457,-15744.37,6200,21,221,20,0000
482470,-189744.91,6200,21,221,20,0000
482471,-75092.58,6200,21,221,20,0000
482478,-100,6200,21,221,20,0000
482480,0,6200,21,221,20,0000
482482,-3.99,6200,21,221,20,0000
489020,0,6200,21,221,20,0000
511001,293891.74,6200,21,221,20,0000
511002,0,6200,21,221,20,0000
511003,3203.05,6200,21,221,20,0000
511004,9585.01,6200,21,221,20,0000
511008,549.44,6200,21,221,20,0000
512001,21854.31,6200,21,221,20,0000
512002,20505.71,6200,21,221,20,0000
512005,15200.39,6200,21,221,20,0000
512012,0,6200,21,221,20,0000
512014,86497.06,6200,21,221,20,0000
512024,0,6200,21,221,20,0000
521001,170176.92,6200,21,221,20,0000
521002,83987.75,6200,21,221,20,0000
521003,6827.19,6200,21,221,20,0000
521004,43395,6200,21,221,20,0000
521008,0,6200,21,221,20,0000
522002,8737.62,6200,21,221,20,0000
522003,0,6200,21,221,20,0000
522006,0,6200,21,221,20,0000
523001,612.39,6200,21,221,20,0000
523002,595,6200,21,221,20,0000
524001,0,6200,21,221,20,0000
524005,4336.5,6200,21,221,20,0000
524009,1003.7,6200,21,221,20,0000
524101,40740.9,6200,21,221,20,0000
528001,0,6200,21,221,20,0000
528012,5518.54,6200,21,221,20,0000
528201,7124.84,6200,21,221,20,0000
528202,-110712.58,6200,21,221,20,0000
528502,0,6200,21,221,20,0000
528505,5945.76,6200,21,221,20,0000
528510,229.26,6200,21,221,20,0000
573001,7334.4,6200,21,221,20,0000
611101,957136.25,6200,21,221,20,0000
614101,14086.1,6200,21,221,20,0000
616101,0,6200,21,221,20,0000
450317,0,6200,21,221,20,2252
488013,0,6200,21,221,20,2252
521001,0,6200,21,221,20,2252
521004,0,6200,21,221,20,2252
521009,0,6200,21,221,20,2252
528521,0,6200,21,221,20,2252
498643,0,6200,21,221,99,0000
800621,29630,6200,21,221,99,0000
476000,-74256,6200,21,999,20,0000
482406,0,6200,21,999,20,0000
482420,0,6200,21,999,20,0000
486100,0,6200,21,999,20,0000
491012,0,6200,21,999,20,0000
492002,0,6200,21,999,20,0000
492003,0,6200,21,999,20,0000
