Account Code,Actual,Fund,Department,Division,Function,Cost Center
436000,-116550.9,6240,31,320,30,0000
437100,0,6240,31,320,30,0000
443100,0,6240,31,320,30,0000
443102,0,6240,31,320,30,0000
443120,0,6240,31,320,30,0000
443121,0,6240,31,320,30,0000
443200,0,6240,31,320,30,0000
443504,-161470.6,6240,31,320,30,0000
443505,-12470,6240,31,320,30,0000
443517,-16575,6240,31,320,30,0000
450012,-56289.85,6240,31,320,30,0000
450700,-2700621.56,6240,31,320,30,0000
460000,-12511.99,6240,31,320,30,0000
481455,-3617,6240,31,320,30,0000
486000,-27502,6240,31,320,30,0000
489000,-383.7,6240,31,320,30,0000
492000,0,6240,31,320,30,0000
493000,0,6240,31,320,30,0000
499100,0,6240,31,320,30,0000
499101,0,6240,31,320,30,0000
511001,250408.65,6240,31,320,30,0000
511003,0,6240,31,320,30,0000
511004,0,6240,31,320,30,0000
511008,0,6240,31,320,30,0000
511010,0,6240,31,320,30,0000
511997,0,6240,31,320,30,0000
512001,18659.75,6240,31,320,30,0000
512002,17228.11,6240,31,320,30,0000
512005,12520.6,6240,31,320,30,0000
512010,30019,6240,31,320,30,0000
512011,0,6240,31,320,30,0000
512012,3613.81,6240,31,320,30,0000
512014,188486,6240,31,320,30,0000
512024,12176.67,6240,31,320,30,0000
521001,6972.39,6240,31,320,30,0000
521002,24948.11,6240,31,320,30,0000
521004,2361.7,6240,31,320,30,0000
521005,1516.87,6240,31,320,30,0000
521007,3209.85,6240,31,320,30,0000
521008,0,6240,31,320,30,0000
521009,0,6240,31,320,30,0000
522002,966.12,6240,31,320,30,0000
523001,2970.34,6240,31,320,30,0000
523002,333,6240,31,320,30,0000
524001,2025.11,6240,31,320,30,0000
524003,409.9,6240,31,320,30,0000
524004,165.75,6240,31,320,30,0000
524005,0,6240,31,320,30,0000
524009,7031.49,6240,31,320,30,0000
524101,5502.53,6240,31,320,30,0000
525001,30387,6240,31,320,30,0000
528001,2779.38,6240,31,320,30,0000
528102,15091.66,6240,31,320,30,0000
528201,8895.7,6240,31,320,30,0000
528202,0,6240,31,320,30,0000
528502,960,6240,31,320,30,0000
528504,0,6240,31,320,30,0000
528505,793.06,6240,31,320,30,0000
571001,2545.49,6240,31,320,30,0000
571002,19.1,6240,31,320,30,0000
571004,0,6240,31,320,30,0000
573001,0,6240,31,320,30,0000
574005,130987.32,6240,31,320,30,0000
574008,63750,6240,31,320,30,0000
581091,0,6240,31,320,30,0000
614101,0,6240,31,320,30,0000
616101,0,6240,31,320,30,0000
616102,0,6240,31,320,30,0000
711101,129382,6240,31,320,30,0000
712101,0,6240,31,320,30,0000
511001,157609.49,6240,31,320,30,3200
511004,9533.82,6240,31,320,30,3200
511008,527.23,6240,31,320,30,3200
511010,0,6240,31,320,30,3200
511997,0,6240,31,320,30,3200
511999,-44003.87,6240,31,320,30,3200
512001,11801.83,6240,31,320,30,3200
512002,11535.74,6240,31,320,30,3200
512005,8383.42,6240,31,320,30,3200
512014,26773,6240,31,320,30,3200
512024,11273.37,6240,31,320,30,3200
512999,-16320.91,6240,31,320,30,3200
521002,0,6240,31,320,30,3200
521004,15253.66,6240,31,320,30,3200
521009,0,6240,31,320,30,3200
522002,751.35,6240,31,320,30,3200
523001,2698.61,6240,31,320,30,3200
524001,2915.43,6240,31,320,30,3200
524003,16119.21,6240,31,320,30,3200
524005,1329.45,6240,31,320,30,3200
524101,92503.2,6240,31,320,30,3200
524997,0,6240,31,320,30,3200
524999,-187826.24,6240,31,320,30,3200
528001,72,6240,31,320,30,3200
528502,384,6240,31,320,30,3200
528504,0,6240,31,320,30,3200
528505,1261.48,6240,31,320,30,3200
571001,35665.16,6240,31,320,30,3200
571002,12562.15,6240,31,320,30,3200
571004,0,6240,31,320,30,3200
581091,0,6240,31,320,30,3200
614101,0,6240,31,320,30,3200
615101,248151.02,6240,31,320,30,3200
616101,0,6240,31,320,30,3200
616102,0,6240,31,320,30,3200
511001,362097.03,6240,31,320,30,3201
511004,14284.8,6240,31,320,30,3201
511008,21,6240,31,320,30,3201
511010,395.1,6240,31,320,30,3201
511997,0,6240,31,320,30,3201
512001,27605.72,6240,31,320,30,3201
512002,25830.82,6240,31,320,30,3201
512005,18772.39,6240,31,320,30,3201
512014,62472,6240,31,320,30,3201
512024,24540.29,6240,31,320,30,3201
521002,0,6240,31,320,30,3201
521004,0,6240,31,320,30,3201
521009,0,6240,31,320,30,3201
522002,99.14,6240,31,320,30,3201
523001,3058.23,6240,31,320,30,3201
524001,1588.38,6240,31,320,30,3201
524003,2395.58,6240,31,320,30,3201
524005,2263.8,6240,31,320,30,3201
524101,35265.61,6240,31,320,30,3201
524997,0,6240,31,320,30,3201
528001,210,6240,31,320,30,3201
528502,384,6240,31,320,30,3201
528504,4857.84,6240,31,320,30,3201
528505,522.79,6240,31,320,30,3201
571001,95361.55,6240,31,320,30,3201
571002,59936.1,6240,31,320,30,3201
571004,0,6240,31,320,30,3201
571999,0,6240,31,320,30,3201
614101,0,6240,31,320,30,3201
616101,0,6240,31,320,30,3201
616102,0,6240,31,320,30,3201
511001,313217.22,6240,31,320,30,3202
511004,406.8,6240,31,320,30,3202
511008,428.07,6240,31,320,30,3202
511010,0,6240,31,320,30,3202
512001,22325.13,6240,31,320,30,3202
512002,21606.68,6240,31,320,30,3202
512005,15702.44,6240,31,320,30,3202
512014,44623,6240,31,320,30,3202
512024,24271.9,6240,31,320,30,3202
521004,0,6240,31,320,30,3202
521005,3674.67,6240,31,320,30,3202
521009,0,6240,31,320,30,3202
522002,0,6240,31,320,30,3202
523001,3984.75,6240,31,320,30,3202
524001,813.62,6240,31,320,30,3202
524003,6276.59,6240,31,320,30,3202
524005,426,6240,31,320,30,3202
524101,0,6240,31,320,30,3202
528502,1728,6240,31,320,30,3202
528505,4476.19,6240,31,320,30,3202
571001,2202.57,6240,31,320,30,3202
571002,6658.58,6240,31,320,30,3202
571004,0,6240,31,320,30,3202
614101,0,6240,31,320,30,3202
498637,0,6240,31,320,99,0000
800110,0,6240,31,320,99,0000
800220,0,6240,31,320,99,0000
800410,0,6240,31,320,99,0000
800610,0,6240,31,320,99,0000
800622,0,6240,31,320,99,0000
498201,0,6240,31,320,99,3200
450700,-85160.37,6240,31,999,30,0000
476000,-206574,6240,31,999,30,0000
486100,0,6240,31,999,30,0000
492000,396223.51,6240,31,999,30,0000
492001,37556.55,6240,31,999,30,0000
493000,0,6240,31,999,30,0000
511001,-13571.91,6240,31,999,30,0000
512001,-1038.25,6240,31,999,30,0000
512002,-861.82,6240,31,999,30,0000
512005,-678.6,6240,31,999,30,0000
512019,41373,6240,31,999,30,0000
512024,-72262.23,6240,31,999,30,0000
528202,85160.37,6240,31,999,30,0000
581091,342755.64,6240,31,999,30,0000
611101,0,6240,31,999,30,0000
611102,-308897.86,6240,31,999,30,0000
614101,-281301,6240,31,999,30,0000
615101,-649518.78,6240,31,999,30,0000
616101,0,6240,31,999,30,0000
711101,-129382,6240,31,999,30,0000
712101,167.14,6240,31,999,30,0000
712220,0,6240,31,999,30,0000
712304,0,6240,31,999,30,0000
712305,0,6240,31,999,30,0000
800910,0,6240,31,999,30,0000
800999,0,6240,31,999,30,0000
