Account Code,Actual,Fund,Department,Division,Function,Cost Center
450010,0,6100,91,910,91,0000
450012,-887689.91,6100,91,910,91,0000
450705,-58814,6100,91,910,91,0000
450706,-4004,6100,91,910,91,0000
453100,0,6100,91,910,91,0000
489000,0,6100,91,910,91,0000
511001,558247.69,6100,91,910,91,0000
511003,0,6100,91,910,91,0000
511004,515.86,6100,91,910,91,0000
511010,2599.32,6100,91,910,91,0000
512001,40880.23,6100,91,910,91,0000
512002,37870.63,6100,91,910,91,0000
512005,27938.51,6100,91,910,91,0000
512012,4825.97,6100,91,910,91,0000
512014,65838.34,6100,91,910,91,0000
512018,0,6100,91,910,91,0000
512024,0,6100,91,910,91,0000
521001,163964.34,6100,91,910,91,0000
521004,6385.69,6100,91,910,91,0000
521008,0,6100,91,910,91,0000
521009,84,6100,91,910,91,0000
522001,0,6100,91,910,91,0000
523001,5654.13,6100,91,910,91,0000
523002,38014.17,6100,91,910,91,0000
524001,6104.29,6100,91,910,91,0000
524003,0,6100,91,910,91,0000
524004,0,6100,91,910,91,0000
528001,36934.61,6100,91,910,91,0000
528502,2689.7,6100,91,910,91,0000
528503,0,6100,91,910,91,0000
528504,0,6100,91,910,91,0000
528505,2245.38,6100,91,910,91,0000
571001,-230.55,6100,91,910,91,0000
571002,1178.59,6100,91,910,91,0000
571004,0,6100,91,910,91,0000
436000,0,6100,91,911,91,0000
436001,0,6100,91,911,91,0000
450010,0,6100,91,911,91,0000
450503,0,6100,91,911,91,0000
450707,-2953.28,6100,91,911,91,0000
460000,-72710.71,6100,91,911,91,0000
486000,-80173.78,6100,91,911,91,0000
488012,-207247.21,6100,91,911,91,0000
489000,-159298.22,6100,91,911,91,0000
498001,-45000,6100,91,911,91,0000
499100,0,6100,91,911,91,0000
499101,0,6100,91,911,91,0000
511001,0,6100,91,911,91,0000
512008,0,6100,91,911,91,0000
512010,180897.97,6100,91,911,91,0000
512011,0,6100,91,911,91,0000
512014,0,6100,91,911,91,0000
512024,0,6100,91,911,91,0000
521002,84102.54,6100,91,911,91,0000
521003,153445.03,6100,91,911,91,0000
521004,0,6100,91,911,91,0000
521005,16213.34,6100,91,911,91,0000
521007,0,6100,91,911,91,0000
521009,0,6100,91,911,91,0000
521013,0,6100,91,911,91,0000
524001,0,6100,91,911,91,0000
524009,228296.3,6100,91,911,91,0000
525001,356358.97,6100,91,911,91,0000
528005,114847.27,6100,91,911,91,0000
528013,0,6100,91,911,91,0000
528201,12160.98,6100,91,911,91,0000
528202,0,6100,91,911,91,0000
573001,0,6100,91,911,91,0000
574001,0,6100,91,911,91,0000
574005,630470.95,6100,91,911,91,0000
574006,0,6100,91,911,91,0000
574008,2206649.04,6100,91,911,91,0000
581091,0,6100,91,911,91,0000
611101,0,6100,91,911,91,0000
614101,0,6100,91,911,91,0000
616101,0,6100,91,911,91,0000
711101,2929909.7,6100,91,911,91,0000
712101,3188581.27,6100,91,911,91,0000
712201,0,6100,91,911,91,0000
712202,6125,6100,91,911,91,0000
498601,0,6100,91,911,99,0000
498619,-67200,6100,91,911,99,0000
498639,0,6100,91,911,99,0000
498641,0,6100,91,911,99,0000
800110,309337,6100,91,911,99,0000
800410,0,6100,91,911,99,0000
800610,0,6100,91,911,99,0000
800611,7438563.96,6100,91,911,99,0000
800622,0,6100,91,911,99,0000
482482,0,6100,91,912,91,0000
489000,-908.14,6100,91,912,91,0000
511001,832490.81,6100,91,912,91,0000
511003,0,6100,91,912,91,0000
511004,3670.7,6100,91,912,91,0000
512001,60353.45,6100,91,912,91,0000
512002,56393.79,6100,91,912,91,0000
512005,41797.92,6100,91,912,91,0000
512014,178924.74,6100,91,912,91,0000
512024,0,6100,91,912,91,0000
521001,32290.45,6100,91,912,91,0000
521002,0,6100,91,912,91,0000
521004,0,6100,91,912,91,0000
521007,0,6100,91,912,91,0000
521008,18571.82,6100,91,912,91,0000
522001,13197.56,6100,91,912,91,0000
523001,3611.23,6100,91,912,91,0000
523002,166.18,6100,91,912,91,0000
524001,12078.61,6100,91,912,91,0000
528001,37160.73,6100,91,912,91,0000
528012,-41.49,6100,91,912,91,0000
528502,24050.41,6100,91,912,91,0000
528504,0,6100,91,912,91,0000
528505,-0.21,6100,91,912,91,0000
614101,22940.2,6100,91,912,91,0000
616101,0,6100,91,912,91,0000
450315,0,6100,91,913,91,0000
450316,0,6100,91,913,91,0000
482482,0,6100,91,913,91,0000
511001,186515.52,6100,91,913,91,0000
511002,0,6100,91,913,91,0000
511003,0,6100,91,913,91,0000
511004,284.25,6100,91,913,91,0000
511008,0,6100,91,913,91,0000
512001,13488.9,6100,91,913,91,0000
512002,12600.48,6100,91,913,91,0000
512005,9340.07,6100,91,913,91,0000
512014,194908.93,6100,91,913,91,0000
512024,0,6100,91,913,91,0000
521001,4704.47,6100,91,913,91,0000
521002,13668,6100,91,913,91,0000
521004,0,6100,91,913,91,0000
521006,0,6100,91,913,91,0000
521008,0,6100,91,913,91,0000
521009,0,6100,91,913,91,0000
521019,0,6100,91,913,91,0000
521020,0,6100,91,913,91,0000
521021,0,6100,91,913,91,0000
522001,0,6100,91,913,91,0000
522002,3502.34,6100,91,913,91,0000
522003,0,6100,91,913,91,0000
522004,0,6100,91,913,91,0000
523001,9180.69,6100,91,913,91,0000
523002,16037,6100,91,913,91,0000
524001,5576.78,6100,91,913,91,0000
524002,0,6100,91,913,91,0000
524003,520.21,6100,91,913,91,0000
524005,10692.55,6100,91,913,91,0000
524101,312.41,6100,91,913,91,0000
528001,9280,6100,91,913,91,0000
528003,0,6100,91,913,91,0000
528502,614.18,6100,91,913,91,0000
528503,0,6100,91,913,91,0000
528505,7009.63,6100,91,913,91,0000
528508,36.87,6100,91,913,91,0000
528510,2638.87,6100,91,913,91,0000
528514,0,6100,91,913,91,0000
528522,0,6100,91,913,91,0000
571001,24494.41,6100,91,913,91,0000
571002,26286.49,6100,91,913,91,0000
571003,23406.06,6100,91,913,91,0000
571004,0,6100,91,913,91,0000
614101,0,6100,91,913,91,0000
616101,0,6100,91,913,91,0000
511001,144627.16,6100,91,913,91,9103
511003,0,6100,91,913,91,9103
511004,7910.33,6100,91,913,91,9103
511008,2614,6100,91,913,91,9103
512001,10995.01,6100,91,913,91,9103
512002,10466.14,6100,91,913,91,9103
512005,7757.69,6100,91,913,91,9103
512014,13650.34,6100,91,913,91,9103
521001,20151.73,6100,91,913,91,9103
521004,227.11,6100,91,913,91,9103
521006,0,6100,91,913,91,9103
521008,0,6100,91,913,91,9103
521019,43952.09,6100,91,913,91,9103
521020,2749.97,6100,91,913,91,9103
521021,792.89,6100,91,913,91,9103
522002,38302.73,6100,91,913,91,9103
522003,2671.25,6100,91,913,91,9103
523001,273,6100,91,913,91,9103
523002,0,6100,91,913,91,9103
524001,1540.9,6100,91,913,91,9103
524003,4817.15,6100,91,913,91,9103
524005,0,6100,91,913,91,9103
524101,1049.6,6100,91,913,91,9103
528001,0,6100,91,913,91,9103
528502,86263.42,6100,91,913,91,9103
528505,0,6100,91,913,91,9103
528508,343726.99,6100,91,913,91,9103
528510,5513.74,6100,91,913,91,9103
528514,0,6100,91,913,91,9103
571001,0,6100,91,913,91,9103
511001,110405.94,6100,91,913,91,9104
511004,0,6100,91,913,91,9104
511008,0,6100,91,913,91,9104
512001,8192.58,6100,91,913,91,9104
512002,7447.58,6100,91,913,91,9104
512005,5520.45,6100,91,913,91,9104
512014,6989.52,6100,91,913,91,9104
521002,0,6100,91,913,91,9104
521004,0,6100,91,913,91,9104
521019,0,6100,91,913,91,9104
521020,0,6100,91,913,91,9104
521021,102.9,6100,91,913,91,9104
522002,1348.7,6100,91,913,91,9104
522003,5042.41,6100,91,913,91,9104
522004,123.33,6100,91,913,91,9104
523001,860,6100,91,913,91,9104
524001,406.72,6100,91,913,91,9104
524003,76.12,6100,91,913,91,9104
524005,0,6100,91,913,91,9104
524101,8160.21,6100,91,913,91,9104
528505,0,6100,91,913,91,9104
528508,0,6100,91,913,91,9104
528510,0,6100,91,913,91,9104
571001,0,6100,91,913,91,9104
511001,287774.72,6100,91,913,91,9105
511002,0,6100,91,913,91,9105
511003,16421.59,6100,91,913,91,9105
511004,13263.02,6100,91,913,91,9105
512001,22661.73,6100,91,913,91,9105
512002,20167.74,6100,91,913,91,9105
512005,14908.35,6100,91,913,91,9105
512014,28232.15,6100,91,913,91,9105
521001,39270.26,6100,91,913,91,9105
521002,0,6100,91,913,91,9105
521004,1166.4,6100,91,913,91,9105
521006,0,6100,91,913,91,9105
521019,20776.23,6100,91,913,91,9105
521020,6897.27,6100,91,913,91,9105
521021,0,6100,91,913,91,9105
522001,0,6100,91,913,91,9105
522002,12077.11,6100,91,913,91,9105
522003,2665.8,6100,91,913,91,9105
522004,1322.65,6100,91,913,91,9105
523001,2548.03,6100,91,913,91,9105
523002,15,6100,91,913,91,9105
524001,6151.26,6100,91,913,91,9105
524002,504008.94,6100,91,913,91,9105
524003,4317.95,6100,91,913,91,9105
524005,0,6100,91,913,91,9105
524101,2981.05,6100,91,913,91,9105
528001,1685,6100,91,913,91,9105
528502,8094.73,6100,91,913,91,9105
528503,0,6100,91,913,91,9105
528505,-294.03,6100,91,913,91,9105
528508,102354.85,6100,91,913,91,9105
528514,42412.21,6100,91,913,91,9105
528522,0,6100,91,913,91,9105
571001,0,6100,91,913,91,9105
571002,0,6100,91,913,91,9105
571004,0,6100,91,913,91,9105
616101,0,6100,91,913,91,9105
511001,345632.23,6100,91,913,91,9106
511004,12848.64,6100,91,913,91,9106
512001,26396.76,6100,91,913,91,9106
512002,24293.24,6100,91,913,91,9106
512005,17983.32,6100,91,913,91,9106
512014,30163.34,6100,91,913,91,9106
521001,5779.98,6100,91,913,91,9106
521002,0,6100,91,913,91,9106
521004,847,6100,91,913,91,9106
521006,0,6100,91,913,91,9106
521019,6502.4,6100,91,913,91,9106
521020,16828.89,6100,91,913,91,9106
521021,0,6100,91,913,91,9106
522002,15007.07,6100,91,913,91,9106
522003,20864.89,6100,91,913,91,9106
522004,801.51,6100,91,913,91,9106
523001,1034,6100,91,913,91,9106
523002,252,6100,91,913,91,9106
524001,2384.87,6100,91,913,91,9106
524002,115289.95,6100,91,913,91,9106
524003,2055.96,6100,91,913,91,9106
524005,0,6100,91,913,91,9106
524101,5551.6,6100,91,913,91,9106
528001,910,6100,91,913,91,9106
528502,16449.15,6100,91,913,91,9106
528503,0,6100,91,913,91,9106
528505,0,6100,91,913,91,9106
528508,28656.09,6100,91,913,91,9106
528514,10982.21,6100,91,913,91,9106
528522,0,6100,91,913,91,9106
571001,0,6100,91,913,91,9106
511001,146308.67,6100,91,913,91,9107
511004,198.08,6100,91,913,91,9107
512001,10642.99,6100,91,913,91,9107
512002,9883.74,6100,91,913,91,9107
512005,7325.36,6100,91,913,91,9107
512014,8718.46,6100,91,913,91,9107
521001,20816,6100,91,913,91,9107
521019,4667,6100,91,913,91,9107
521020,0,6100,91,913,91,9107
521021,0,6100,91,913,91,9107
523001,1040.17,6100,91,913,91,9107
523002,0,6100,91,913,91,9107
524001,12684.03,6100,91,913,91,9107
524002,43833.51,6100,91,913,91,9107
524003,2812.25,6100,91,913,91,9107
524005,0,6100,91,913,91,9107
524101,0,6100,91,913,91,9107
528001,0,6100,91,913,91,9107
528505,0,6100,91,913,91,9107
511001,350835.09,6100,91,913,91,9108
511004,5775.14,6100,91,913,91,9108
512001,25033.77,6100,91,913,91,9108
512002,24056.62,6100,91,913,91,9108
512005,17830.67,6100,91,913,91,9108
512014,35472.48,6100,91,913,91,9108
521001,9536.52,6100,91,913,91,9108
521002,0,6100,91,913,91,9108
521004,23155,6100,91,913,91,9108
521006,0,6100,91,913,91,9108
521019,5552.18,6100,91,913,91,9108
521020,4558.04,6100,91,913,91,9108
521021,0,6100,91,913,91,9108
522001,13.38,6100,91,913,91,9108
522002,29921.9,6100,91,913,91,9108
522003,896.16,6100,91,913,91,9108
522004,424.34,6100,91,913,91,9108
523001,2171.61,6100,91,913,91,9108
523002,170,6100,91,913,91,9108
524001,4387.25,6100,91,913,91,9108
524002,162291.77,6100,91,913,91,9108
524003,1192.41,6100,91,913,91,9108
524005,0,6100,91,913,91,9108
524101,117,6100,91,913,91,9108
528001,1382,6100,91,913,91,9108
528502,11118.54,6100,91,913,91,9108
528503,0,6100,91,913,91,9108
528505,0,6100,91,913,91,9108
528508,162556.07,6100,91,913,91,9108
528510,7960.63,6100,91,913,91,9108
528514,33432.21,6100,91,913,91,9108
528522,0,6100,91,913,91,9108
571001,0,6100,91,913,91,9108
450700,-22886572.53,6100,91,914,91,0000
450701,-412049.83,6100,91,914,91,0000
450702,-541515.97,6100,91,914,91,0000
450704,-997501.38,6100,91,914,91,0000
450708,-318350.35,6100,91,914,91,0000
450709,-684521.19,6100,91,914,91,0000
450711,-6356965.08,6100,91,914,91,0000
450712,-1525,6100,91,914,91,0000
481479,-10780,6100,91,914,91,0000
482482,-18.52,6100,91,914,91,0000
511001,467774.1,6100,91,914,91,0000
511003,13450.96,6100,91,914,91,0000
511004,22974.46,6100,91,914,91,0000
511008,64.29,6100,91,914,91,0000
512001,36392.01,6100,91,914,91,0000
512002,33110.25,6100,91,914,91,0000
512005,24540.92,6100,91,914,91,0000
512014,130270.68,6100,91,914,91,0000
512024,0,6100,91,914,91,0000
521002,0,6100,91,914,91,0000
521004,0,6100,91,914,91,0000
521008,0,6100,91,914,91,0000
522001,0,6100,91,914,91,0000
522002,1194.7,6100,91,914,91,0000
522003,2600,6100,91,914,91,0000
523001,2562.66,6100,91,914,91,0000
523002,1790,6100,91,914,91,0000
524001,21480.35,6100,91,914,91,0000
524003,9746.5,6100,91,914,91,0000
524004,0,6100,91,914,91,0000
524005,3899.95,6100,91,914,91,0000
524101,65258.76,6100,91,914,91,0000
524106,121164.16,6100,91,914,91,0000
528001,1292.95,6100,91,914,91,0000
528502,864,6100,91,914,91,0000
528504,0,6100,91,914,91,0000
528505,10216.09,6100,91,914,91,0000
571001,38659.76,6100,91,914,91,0000
571002,67143.46,6100,91,914,91,0000
571004,0,6100,91,914,91,0000
614101,0,6100,91,914,91,0000
511001,68373.19,6100,91,914,91,9101
511004,2060.71,6100,91,914,91,9101
512001,4987.3,6100,91,914,91,9101
512002,4751,6100,91,914,91,9101
512005,3521.72,6100,91,914,91,9101
512014,6287.1,6100,91,914,91,9101
521008,0,6100,91,914,91,9101
522002,0,6100,91,914,91,9101
523001,0,6100,91,914,91,9101
523002,0,6100,91,914,91,9101
524001,0,6100,91,914,91,9101
524003,0,6100,91,914,91,9101
528502,0,6100,91,914,91,9101
528505,0,6100,91,914,91,9101
571001,0,6100,91,914,91,9101
511001,423781.47,6100,91,915,91,0000
511003,0,6100,91,915,91,0000
511004,323.65,6100,91,915,91,0000
512001,30493.23,6100,91,915,91,0000
512002,28609.57,6100,91,915,91,0000
512005,21205.11,6100,91,915,91,0000
512012,0,6100,91,915,91,0000
512014,70866.77,6100,91,915,91,0000
512024,0,6100,91,915,91,0000
521004,0,6100,91,915,91,0000
521008,0,6100,91,915,91,0000
521009,0,6100,91,915,91,0000
523001,1614.85,6100,91,915,91,0000
523002,883,6100,91,915,91,0000
524001,2356.45,6100,91,915,91,0000
524005,449.75,6100,91,915,91,0000
524101,0,6100,91,915,91,0000
528001,276,6100,91,915,91,0000
528502,960.35,6100,91,915,91,0000
528505,3940.32,6100,91,915,91,0000
571001,2692.95,6100,91,915,91,0000
571002,6192.52,6100,91,915,91,0000
571004,0,6100,91,915,91,0000
614101,0,6100,91,915,91,0000
511001,159188.61,6100,91,916,91,0000
511004,8719.67,6100,91,916,91,0000
511008,1880.85,6100,91,916,91,0000
511999,-8421.86,6100,91,916,91,0000
512001,12314.56,6100,91,916,91,0000
512002,11452.56,6100,91,916,91,0000
512005,8489.39,6100,91,916,91,0000
512014,47809.03,6100,91,916,91,0000
512024,0,6100,91,916,91,0000
512999,0,6100,91,916,91,0000
521001,0,6100,91,916,91,0000
521002,0,6100,91,916,91,0000
521004,7334.13,6100,91,916,91,0000
523001,100,6100,91,916,91,0000
524001,382.52,6100,91,916,91,0000
524101,13341.77,6100,91,916,91,0000
524999,-43675.54,6100,91,916,91,0000
571001,11895.78,6100,91,916,91,0000
571002,17809.06,6100,91,916,91,0000
574001,0,6100,91,916,91,0000
574005,0,6100,91,916,91,0000
615101,52097.4,6100,91,916,91,0000
616101,0,6100,91,916,91,0000
617101,0,6100,91,916,91,0000
614101,684821.67,6100,91,917,91,0000
616101,0,6100,91,917,91,0000
450710,-18744,6100,91,918,91,0000
489011,0,6100,91,918,91,0000
511001,1472721.8,6100,91,918,91,0000
511004,112547.91,6100,91,918,91,0000
511008,13237.62,6100,91,918,91,0000
511999,0,6100,91,918,91,0000
512001,115843.15,6100,91,918,91,0000
512002,107840.09,6100,91,918,91,0000
512005,79925.07,6100,91,918,91,0000
512014,331403.46,6100,91,918,91,0000
512024,0,6100,91,918,91,0000
512999,0,6100,91,918,91,0000
521001,65746.6,6100,91,918,91,0000
521002,0,6100,91,918,91,0000
521004,21954.56,6100,91,918,91,0000
521008,0,6100,91,918,91,0000
522002,11707.84,6100,91,918,91,0000
522003,10455.77,6100,91,918,91,0000
523001,19515.58,6100,91,918,91,0000
523002,1343,6100,91,918,91,0000
524001,83378.65,6100,91,918,91,0000
524003,18049.58,6100,91,918,91,0000
524004,0,6100,91,918,91,0000
524005,13193.1,6100,91,918,91,0000
524101,623250.02,6100,91,918,91,0000
524105,6.61,6100,91,918,91,0000
524106,15431.41,6100,91,918,91,0000
524999,0,6100,91,918,91,0000
528001,1227.48,6100,91,918,91,0000
528102,340,6100,91,918,91,0000
528502,18944.4,6100,91,918,91,0000
528504,0,6100,91,918,91,0000
528505,30494.7,6100,91,918,91,0000
528506,0,6100,91,918,91,0000
528508,12944.74,6100,91,918,91,0000
528510,2091.91,6100,91,918,91,0000
528512,0,6100,91,918,91,0000
528514,0,6100,91,918,91,0000
528522,3671.28,6100,91,918,91,0000
571001,125709.04,6100,91,918,91,0000
571002,140165.37,6100,91,918,91,0000
571004,0,6100,91,918,91,0000
571999,-15548.13,6100,91,918,91,0000
574005,0,6100,91,918,91,0000
614101,0,6100,91,918,91,0000
615101,0,6100,91,918,91,0000
616101,0,6100,91,918,91,0000
511001,0,6100,91,918,91,9102
511004,0,6100,91,918,91,9102
511008,0,6100,91,918,91,9102
512001,0,6100,91,918,91,9102
512002,0,6100,91,918,91,9102
512005,0,6100,91,918,91,9102
512014,0,6100,91,918,91,9102
524001,0,6100,91,918,91,9102
524101,0,6100,91,918,91,9102
571001,7.5,6100,91,918,91,9102
489000,0,6100,91,919,91,0000
511001,0,6100,91,919,91,0000
511004,0,6100,91,919,91,0000
512001,0,6100,91,919,91,0000
512002,0,6100,91,919,91,0000
512005,0,6100,91,919,91,0000
512014,0,6100,91,919,91,0000
521001,0,6100,91,919,91,0000
524001,0,6100,91,919,91,0000
571001,0,6100,91,919,91,0000
450700,7092.91,6100,91,999,91,0000
450711,-35281.25,6100,91,999,91,0000
476000,-423850,6100,91,999,91,0000
486000,17724,6100,91,999,91,0000
486100,0,6100,91,999,91,0000
489000,28571,6100,91,999,91,0000
493000,0,6100,91,999,91,0000
499910,0,6100,91,999,91,0000
511001,-124641.28,6100,91,999,91,0000
512001,-9535.06,6100,91,999,91,0000
512002,-4659.6,6100,91,999,91,0000
512005,-6232.06,6100,91,999,91,0000
512019,41132.22,6100,91,999,91,0000
512024,0,6100,91,999,91,0000
528202,242277.91,6100,91,999,91,0000
581091,7448412.21,6100,91,999,91,0000
611101,0,6100,91,999,91,0000
611102,0,6100,91,999,91,0000
612101,-11130,6100,91,999,91,0000
614101,-707761.87,6100,91,999,91,0000
