FROM,2010,1,TO,2010,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
1100,General Fund,,,,,,
,,,,,,,
1,Administration Services Dept,,,,,,
,,,,,,,
11,Governing Body Division,,,,,,
,,,,,,,
11000011,Gen Fd - Governing Body,,,,,,
,,,,,,,
1100-01-01-011-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,109099,-4725,104374,102453.34,0,1920.66,98.20%
1100-01-01-011-0000-00000-00000-000-512001- FICA Tax Expense                              ,8346,0,8346,9022.22,0,-676.22,108.10%
1100-01-01-011-0000-00000-00000-000-512012- Vehicle Allowance                             ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512014- Group Insurance Expense                       ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512016- Expense Allowance                             ,27660,0,27660,32852.73,0,-5192.73,118.80%
1100-01-01-011-0000-00000-00000-000-512018- Phone Allowance                               ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521002- Professional Services                         ,0,266,266,266,0,0,100.00%
1100-01-01-011-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,1200,-1095,105,105,0,0,100.00%
1100-01-01-011-0000-00000-00000-000-521009- Services - Advertising                        ,500,0,500,0,0,500,0.00%
1100-01-01-011-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-523001- Training                                      ,26000,-16203,9797,9796.8,0,0.2,100.00%
1100-01-01-011-0000-00000-00000-000-523002- Dues & Subscriptions                          ,1500,-600,900,111.93,0,788.07,12.40%
1100-01-01-011-0000-00000-00000-000-524001- Supplies - Other                              ,3000,-661,2339,2306.98,0,32.02,98.60%
1100-01-01-011-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,150,0,150,26.09,0,123.91,17.40%
1100-01-01-011-0000-00000-00000-000-525001- Insurance & Bonds                             ,10000,0,10000,10000,0,0,100.00%
1100-01-01-011-0000-00000-00000-000-528010- Special  Events                               ,1000,0,1000,528.33,0,471.67,52.80%
1100-01-01-011-0000-00000-00000-000-528502- Telephone                                     ,1000,380,1380,1273.44,0,106.56,92.30%
1100-01-01-011-0000-00000-00000-000-528505- Cellular Usage                                ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-571004- Motor Pool Charges                            ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Governing Body Division       ,189455,-22638,166817,168742.86,0,-1925.86,101.20%
,,,,,,,
,,,,,,,
12,City Clerk Division,,,,,,
,,,,,,,
11000012,Gen Fd - City Clerk,,,,,,
,,,,,,,
1100-01-01-012-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,-103,0,103,0.00%
1100-01-01-012-0000-00000-00000-000-450001- Applications Fees                             ,0,0,0,0,0,0,0.00%
1100-01-01-012-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,82225,0,82225,82315.41,0,-90.41,100.10%
1100-01-01-012-0000-00000-00000-000-512001- FICA Tax Expense                              ,6262,-19,6243,6242.8,0,0.2,100.00%
1100-01-01-012-0000-00000-00000-000-512002- Employer - LGERS                              ,3947,0,3947,4014.57,0,-67.57,101.70%
1100-01-01-012-0000-00000-00000-000-512005- Employer - 401(K)                             ,4111,0,4111,4115.72,0,-4.72,100.10%
1100-01-01-012-0000-00000-00000-000-512012- Vehicle Allowance                             ,2400,0,2400,2409.23,0,-9.23,100.40%
1100-01-01-012-0000-00000-00000-000-512014- Group Insurance Expense                       ,6718,0,6718,6718,0,0,100.00%
1100-01-01-012-0000-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
1100-01-01-012-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
1100-01-01-012-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,1622,-1559,63,63,0,0,100.00%
1100-01-01-012-0000-00000-00000-000-522001- Maintenance and Repairs                       ,68,0,68,0,0,68,0.00%
1100-01-01-012-0000-00000-00000-000-523001- Training                                      ,1640,-212,1428,1427.17,0,0.83,99.90%
1100-01-01-012-0000-00000-00000-000-523002- Dues & Subscriptions                          ,270,0,270,183.29,0,86.71,67.90%
1100-01-01-012-0000-00000-00000-000-524001- Supplies - Other                              ,526,-25,501,103.63,396.6,0.77,99.80%
1100-01-01-012-0000-00000-00000-000-528502- Telephone                                     ,192,6,198,181.92,0,16.08,91.90%
,,,,,,,
TOTAL City Clerk Division           ,109981,-1809,108172,107671.74,396.6,103.66,99.90%
,,,,,,,
,,,,,,,
13,City Manager,,,,,,
,,,,,,,
11000013,Gen Fd - City Manager,,,,,,
,,,,,,,
1100-01-01-013-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,0,0,0,0.00%
1100-01-01-013-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,410867,33570,444437,444436.64,0,0.36,100.00%
1100-01-01-013-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,16590,0,16590,21507.3,0,-4917.3,129.60%
1100-01-01-013-0000-00000-00000-000-511004- Compensation - Overtime                       ,5530,-5072,458,457.8,0,0.2,100.00%
1100-01-01-013-0000-00000-00000-000-511010- Quality of Serv Award                         ,1053,925,1978,1977.94,0,0.06,100.00%
