FROM,2012,1,TO,2012,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6500,Mass Transit Fund,,,,,,
,,,,,,,
21,Transportation Department,,,,,,
,,,,,,,
950,Transit Administration Div,,,,,,
,,,,,,,
65000950,Mass Tr Fd - Transit Admin,,,,,,
,,,,,,,
6500-95-21-950-0000-00000-00000-000-435000- Restricted Intergov Fed Grants                ,0,-96881,-96881,-158049,0,61168,163.10%
6500-95-21-950-0000-00000-00000-000-435100- Rstrctd Intrgv Fed Grants Oper                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435505- Rstrd Intrgov-Fed prtn of MPO                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435507- Rstrtd Intrgv - FTA Formula                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435516- Rstrtd Intrgv - FTA JARC                      ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435521- Rstrtd Intrgv - FTA New Freedm                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-436505- Rstrd Intrgov-St prtn of MPO                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-437000- Restrictd Intergv County Parti                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-437100- Restrictd Intergv Otr Loc Part                ,0,-1800,-1800,-1800,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-450604- Bus Lease                                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-460000- Income from Investments                       ,0,0,0,-4021.31,0,4021.31,0.00%
6500-95-21-950-0000-00000-00000-000-483304- Private Donations - Restricted                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-5618,-5618,0,0,-5618,0.00%
6500-95-21-950-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,144532,23432,167964,151428.78,0,16535.22,90.20%
6500-95-21-950-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,1800,1800,900,0,900,50.00%
6500-95-21-950-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,206,1262,1261.73,0,0.27,100.00%
6500-95-21-950-0000-00000-00000-000-512001- FICA Tax Expense                              ,10757,267,11024,11263.52,0,-239.52,102.20%
6500-95-21-950-0000-00000-00000-000-512002- Employer - LGERS                              ,10017,198,10215,10418.26,0,-203.26,102.00%
6500-95-21-950-0000-00000-00000-000-512005- Employer - 401(K)                             ,7280,145,7425,7571.39,0,-146.39,102.00%
6500-95-21-950-0000-00000-00000-000-512010- Workers Compensation                          ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-512014- Group Insurance Expense                       ,27026,0,27026,27026,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,5618,5618,5617.9,0,0.1,100.00%
6500-95-21-950-0000-00000-00000-000-521001- Contracted Services                           ,0,1282,1282,342.12,0,939.88,26.70%
6500-95-21-950-0000-00000-00000-000-521002- Professional Services                         ,1500,-1500,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-521005- Rental/Lease - Computers                      ,704,1,705,703.96,0,0.85,99.90%
6500-95-21-950-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,3500,-3425,75,75,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-521009- Services - Advertising                        ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-523001- Training                                      ,4000,2916,6916,5538.46,0,1377.54,80.10%
6500-95-21-950-0000-00000-00000-000-523002- Dues & Subscriptions                          ,500,332,832,1495.96,0,-663.96,179.80%
6500-95-21-950-0000-00000-00000-000-524001- Supplies - Other                              ,500,2052,2552,2564.56,0,-12.46,100.50%
6500-95-21-950-0000-00000-00000-000-524009- Services - Postage                            ,200,100,300,214.93,0,85.07,71.60%
6500-95-21-950-0000-00000-00000-000-524101- Materials                                     ,800,-699,101,100.98,0,0.02,100.00%
6500-95-21-950-0000-00000-00000-000-525001- Insurance & Bonds                             ,108829,0,108829,108829,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-527102- Transit Pass Through Grant                    ,553500,0,553500,419967,0,133533,75.90%
6500-95-21-950-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528005- Bank Fees                                     ,0,20,20,20,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-528013- Contingencies                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528301- Emergency Notification System                 ,0,12,12,0,0,12,0.00%
6500-95-21-950-0000-00000-00000-000-528502- Telephone                                     ,800,1500,2300,1859.63,0,440.37,80.90%
6500-95-21-950-0000-00000-00000-000-528503- Long Distance                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528504- Radio Charges                                 ,11000,0,11000,8075.4,0,2924.6,73.40%
6500-95-21-950-0000-00000-00000-000-528505- Cellular Usage                                ,900,0,900,793.2,0,106.8,88.10%
6500-95-21-950-0000-00000-00000-000-528999- Other Expense                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-571004- Motor Pool Charges                            ,0,0,0,0,0,0,0.00%
