Org Code,Description
1000,Gov Act Conversion Fund
10000001,General Government
10000010,Public Safety
10000020,Transportation
10000030,Environmental Services
10000040,Economic & Physical Developmnt
10000060,Debt Service
10000080,Culture and Recreation
10000100,GASB 34 General Revenues
10000129,FICA Tax Exp-Pol Sep Allow Con
10000320,Stormwater Admin Division
1100,General Fund
11000010,Gen Fd - Budget Division
11000011,Gen Fd - Governing Body
11000012,Gen Fd - City Clerk
11000013,Gen Fd - City Manager
11000014,Gen Fd - City Hall Operations
11000015,Gen Fd - Community Affairs
11000016,Gen Fd - Sustainability Div
11000017,Gen Fd - Purchasing Oper
11000018,Gen Fd - Purch Central Store
11000019,Gen Fd - Risk Management Div
1100001a,GenF - Administration Division
11000020,Gen Fd - Legal Division
11000030,Gen Fd - Finance Admin
11000031,Gen Fd - Accounting Division
11000036,Gen Fd - Group Hth/Life/Dent
11000040,Gen Fd - Human Resources Admin
11000041,Gen Fd - Health Clinic service
11000042,Gen Fd - Organizational Develo
11000050,Gen Fd - Information Serv
11000051,Gen Fd - IT Administration
11000052,Gen Fd - IT Support Services
11000053,Gen Fd - IT Technical Services
11000054,Gen Fd - IT GIS-Appl. Services
11000060,Gen Fd - Non - Divisional
11000061,Gen Fd - Inter-Extra Gov Serv
11000062,Gen Fd - Empl Health Contrib
11000070,Gen Fd - Econ Development
11000110,Gen Fd - Fire Support Svcs
11000111,Gen Fd - Emergency Response
11000112,Gen Fd - Fire Marshals Office
11000120,Gen Fd - Police Admin Division
11000121,Gen Fd - Crim Investigation Di
11000122,Gen Fd - Police Patrol Divisio
11000123,Gen Fd - Police Support
11000129,Police Sep Allowance
11000130,Gen Fd - Permit & Inspections
11000131,Gen Fd - Building Maintenance
11000210,Gen Fd - Trans/Eng Admin
11000213,Gen Fd - Traffic Engineering D
11000231,Gen Fd - Streets & Sidewalks
11000232,Gen Fd - Street Lighting
11000310,Gen Fd - Public Works Admin
11000311,Gen Fd - Sanitation
11000313,Gen Fd - Fleet Management
11000330,Gen Fd - Engineering Serv Div
11000410,Gen Fd - Planning Services Div
11000411,Gen Fd - Historic Resources
11000412,Gen Fd - Community Development
11000800,Gen Fd - Parks Administration
11000801,GF - Parks - Business Services
11000802,Gen Fd - Cultural Arts
11000803,Gen Fd - Parks Maintenance
11000804,Gen Fd - Planning & Devlpmt
11000805,Gen Fd - Recreation
11000806,Gen Fd - Specialized Facilitie
11000807,Community Program
11001015,Changing Together
11001016,Energy Conservation
11001120,Propertyroom.com
11002100,Gen Fd - Transportation Planni
11002101,Gen Fd - Transpor Demand Mgt
11002151,Gen Fd - Signs & Pavement Mark
11002152,Gen Fd - Traffic Signals
11002153,Traffic Safety Projects
11003000,Gen Fd - Sidewalks - New Const
11003001,Gen Fd - Sidewalks Maintenance
11003002,Gen Fd - Paving
11003003,Gen Fd - Preventive Maintenanc
11003004,Gen Fd - Tree and ROW Maint
11003005,Gen Fd - Bridges
11003006,Gen Fd - Storm Control
11003007,Gen Fd - Downtown Beautificati
11003008,Public Works Safety
11003110,Gen Fd - Sanitation Operations
11003111,Gen Fd - CBD Maintenance
11003112,Gen Fd - Recycling
11003130,Gen Fd Fleet-Outside Agencies
11003301,Gen Fd - Sidewalks New Constru
11003302,Streets & Sidewalk Maintenance
11004200,GF - Comm Dev - Homeless Prog
11008002,Dfrd Maintenance - CulturalArt
11008003,Deferred Maintenance Projects
11008020,NC Arts Council Grassroots
11008100,Gen Fd - Pack Square Park
11008201,Gen Fd - Bele Chere
11008203,Gen Fd - Fourth of July
11008204,Gen Fd - Community Events
11008300,GF - Recreation - Admin
11008301,GF - Recreation - Outdoor
11008302,GF - Recreation - Therapeutic
11008303,GF - Recreation - Comm Events
11008304,GF - Recreation - Youth Athlet
11008305,GF - Recreation - Adult Athlet
11008306,GF - Recreation - Summer Playg
11008307,GF - Recreation - Senior Svcs
11008308,GF - Parks Adm - Burton St Ctr
11008309,GF - Recreation - East Ashevil
11008310,GF - Recreation - Harvest Hous
11008311,GF - Recreation - Montford Ctr
11008312,GF - Recreation - Murphey Okly
11008313,GF - Recreation - North Ashevi
11008314,GF - Recreation - Reid Center
11008315,GF - Recreation - Senior Opp C
11008316,GF - Recreation - Shiloh Cente
11008317,GF - Recreation - Stephens Lee
11008318,GF - Recreation - West Ash Ctr
11008319,GF- Recreation - Golf Course
11008320,GF - Recreation - Jones Child
11008321,GF - Recreation - Vance Child
11008322,GF - Recreation - Grnt Sth Ctr
11008323,Harvest House Grant
11008324,Senior Opportunity Grant
11008400,GF - Spec Fac - Riverside Cem
11008401,GF - Spec Fac - WNC Nat Ctr
