FROM,2013,1,TO,2013,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6200,Parking Services Fund,,,,,,
,,,,,,,
21,Transportation Department,,,,,,
,,,,,,,
220,Parking Garage Divison,,,,,,
,,,,,,,
62000220,Pk Svcs Fd - Parking Garage,,,,,,
,,,,,,,
6200-20-21-220-0000-00000-00000-000-460000- Income from Investments                       ,-20000,0,-20000,-4126.57,0,-15873.43,20.60%
6200-20-21-220-0000-00000-00000-000-482401- Fines & Fees Civ Ctr Gar Pkng                 ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-482403- Fines & Fees After Hrs Parking                ,-350000,0,-350000,-389414.21,0,39414.21,111.30%
6200-20-21-220-0000-00000-00000-000-482404- Fines & Fees Pkng Gar Monthly                 ,-550000,0,-550000,-584548.37,0,34548.37,106.30%
6200-20-21-220-0000-00000-00000-000-482405- Fines & Fees Pkng Gar Sp Evnts                ,-200000,0,-200000,-272916.03,0,72916.03,136.50%
6200-20-21-220-0000-00000-00000-000-482406- Fines & Fees Pkng Gar Transnt                 ,-575000,0,-575000,-680241,0,105241,118.30%
6200-20-21-220-0000-00000-00000-000-482480- Fines & Fees Return Check Chg                 ,0,0,0,25,0,-25,0.00%
6200-20-21-220-0000-00000-00000-000-482482- Fines & Fees Interest - Late C                ,0,0,0,-32.26,0,32.26,0.00%
6200-20-21-220-0000-00000-00000-000-484400- Rents - Rental Income                         ,-21800,0,-21800,-24640,0,2840,113.00%
6200-20-21-220-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-492002- Proceeds of Debt - refunding                  ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-492003- Proceeds of Debt - Refund Prem                ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-1050000,-1050000,0,0,-1050000,0.00%
6200-20-21-220-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-69960,-69960,0,0,-69959.8,0.00%
6200-20-21-220-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,297950,-55000,242950,231210.13,0,11739.87,95.20%
6200-20-21-220-0000-00000-00000-000-511002- Compensation - Part Time                      ,20200,-10000,10200,0,0,10200,0.00%
6200-20-21-220-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,22634,22634,23362,0,-728,103.20%
6200-20-21-220-0000-00000-00000-000-511004- Compensation - Overtime                       ,3030,3173,6203,6353.62,0,-150.62,102.40%
6200-20-21-220-0000-00000-00000-000-511008- Compensation - Stand By Pay                   ,1093,0,1093,400.46,0,692.54,36.60%
6200-20-21-220-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,0,1056,1005.58,0,50.42,95.20%
6200-20-21-220-0000-00000-00000-000-512001- FICA Tax Expense                              ,18555,333,18888,19394.35,0,-506.35,102.70%
6200-20-21-220-0000-00000-00000-000-512002- Employer - LGERS                              ,16686,0,16686,15776.55,0,909.45,94.50%
6200-20-21-220-0000-00000-00000-000-512005- Employer - 401(K)                             ,12127,0,12127,11642.81,0,484.19,96.00%
6200-20-21-220-0000-00000-00000-000-512010- Workers Compensation                          ,16202,0,16202,16202.03,0,-0.03,100.00%
6200-20-21-220-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-512012- Vehicle Allowance                             ,0,1190,1190,1219.69,0,-29.69,102.50%
6200-20-21-220-0000-00000-00000-000-512014- Group Insurance Expense                       ,73396,0,73396,60320.57,0,13075.43,82.20%
6200-20-21-220-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-521004- Rental/Lease                                  ,0,1890,1890,1890,0,0,100.00%
6200-20-21-220-0000-00000-00000-000-521005- Rental/Lease - Computers                      ,1000,0,1000,701.4,0,298.62,70.10%
6200-20-21-220-0000-00000-00000-000-521006- Services - Janitorial                         ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-521007- Services - Outside Printing                   ,2000,0,2000,461.5,0,1538.5,23.10%
6200-20-21-220-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,3000,2624,5624,3274.72,0,2349.76,58.20%
6200-20-21-220-0000-00000-00000-000-521009- Services - Advertising                        ,700,0,700,0,0,700,0.00%
6200-20-21-220-0000-00000-00000-000-521010- Services - Security                           ,150000,25000,175000,169341.67,0,5658.33,96.80%
6200-20-21-220-0000-00000-00000-000-522001- Maintenance and Repairs                       ,60000,5000,65000,61242.96,0,3757.04,94.20%
6200-20-21-220-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,15000,16043,31043,27023.56,0,4019.64,87.10%
6200-20-21-220-0000-00000-00000-000-522003- Maint & Repair - Buildings                    ,65000,5126,70126,42751.9,0,27373.6,61.00%
6200-20-21-220-0000-00000-00000-000-522006- Vandalism Repair                              ,1000,0,1000,215.13,0,784.87,21.50%
6200-20-21-220-0000-00000-00000-000-523001- Training                                      ,500,0,500,403.14,0,96.86,80.60%
6200-20-21-220-0000-00000-00000-000-523002- Dues & Subscriptions                          ,550,0,550,75,0,475,13.60%
6200-20-21-220-0000-00000-00000-000-524001- Supplies - Other                              ,4500,8556,13056,12735.66,0,320.46,97.50%
6200-20-21-220-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,400,0,400,0,0,400,0.00%
6200-20-21-220-0000-00000-00000-000-524005- Supplies - Uniforms                           ,2500,25,2525,2708.49,0,-183.49,107.30%
6200-20-21-220-0000-00000-00000-000-524101- Materials                                     ,30000,6019,36019,36268.52,0,-249.52,100.70%
6200-20-21-220-0000-00000-00000-000-525001- Insurance & Bonds                             ,28583,1,28584,28583.03,0,0.97,100.00%
