Segment Code,Description
00000,No Grant
a0201,FTA FY02-03 Op & Cap Grant
a0704,Weaverville Intercity 2007
a0804,Weaverville Intercity 2008
a0805,Black Mntn Intercity 2008
a0822,New Freedom
a0824,JARC
a0901,FTA FY09 Operating and Capital
a0904,Weaverville Intercity FY2009
a0905,Black Mntn Intercity 2009
a0923,Replace Buses w Hybrid & Diesl
a1023,ARRA - FTA Scnd 5 Dsl Buses
a1031,U-5186 - Sidewalk Gaps State
b0115,E-4814 - Avon Rd Haw Creek
b0412,E-4815 - Clingman Ave 1
b0514,B-4343 - East Oakview Brdg
b0611,E-4816 - Pack Square 1
b0612,E-4966 - Clingman Ave 2
b0711,U-4919 - Pack Square 2
b0716,E-2971M - Patton Ave
b0813,U-5019 - Dykeman Riverway
b0921,Safe Routes to School
b1011,U-5173 - Coxe Ave Bike Lane
b1012,U-5174 - Dwntwn Streetscape
b1013,U-5175 - Fairview Signals
b1014,U-5177 - S Slope Bike Lanes
b1015,U-5186 - Sidewalk Gaps Fed
b1016,U-5187 - Kimberly Ave Resrf
c0601,JAG 2006
c0603,COPS Meth 2006
c0621,Weed & Seed 2006 Yr1
c0701,JAG 2007
c0721,Weed & Seed 2007 Yr2
c0801,JAG 2008
c0803,COPS Meth 2008
c0804,BYRNE Grant 2008
c0821,Weed & Seed 2008 Yr3
c0905,OCDETF 2009
c0906,JAG 2009 Local Solicitation
c0907,Bulletproof Vest Partners
c0916,ARRA - JAG 2009 BYRNE LocSol
c0921,Weed & Seed 2009 Yr4
c0923,Safe Neighborhoods
c1002,NCGCC GangViolPrevProj 09
C1021,Weed & Seed Initiative Year 5
d0501,CDBG CY04-05
d0502,HOME CY04-05
d0601,CDBG CY05-06
d0602,HOME CY05-06
d0701,CDBG CY06-07
d0702,HOME CY06-07
d0801,CDBG CY07-08
d0802,HOME CY07-08
d0901,CDBG CY08-09
d0902,HOME CY08-09
d0904,Section 108 Rehab Grant
d0921,ARRA Hmlss Prvntn & Rapid R P
d0922,CDBG-R Community Dev ARRA
d1001,CDBG CY09-10
d1002,HOME CY09-10
d1004,Section 108 Rehab Grant
d1011,CLG
d1101,CDBG CY10-11
d1102,HOME CY10-11
d1201,CDBG CY11-12
d1202,HOME CY11-12
d1301,CDBG CY12-13
d1302,HOME CY12-13
d1401,CDBG CY13-14
d1402,HOME CY13-14
d1501,CDBG CY14-15
d1502,HOME CY14-15
e0431,Senior Opportunity 2004
e0631,Senior Opportunity 2006
e0731,Senior Opportunity 2007
e0732,Harvest House 2007
e0831,Senior Opportunity 2008
e0832,Harvest House 2008
e0931,Senior Opportunity 2009
e0932,Harvest House 2009
e1021,ARRA Summer Intern Eng Serv
e1031,Senior Opportunity 2010
e1032,Harvest House 2010
e1131,Senior Opp 2011
e1132,Harvest House 2011
f0933,Summer Day Camp Prog 09
f0934,After School Prog 09
f1033,Summer Day Camp Prog 10
f1034,After School Prog 10
g0703,Dingle Creek Watershed
g0804,Richmond Hill Park Rain Garden
g0805,Senate Bill 7 - Flood Damage
g0806,Senate Bill 7 - Flood Damage
g0807,Senate Bill 7 - Flood Damage
g0904,NCDPPEA Compost Bins DENR
g1003,ARRA & NCCWMTF Dingle Crk
g1008,NC Diesel Emmissions
g1009,ARRA - Water Grant - WC0905
g1010,Energy Effic and Conservation
g1011,WNC Nature Cntr Spcl Approp 10
g1101,Interactive Recycling Center
h0602,Hazmat grant 2006
h0702,Hazmat grant 2007
h0801,SAFER grant 2008
h0802,Hazmat grant 2008
h0901,SAFER grant 2009
h0902,Hazmat grant 2009
h0906,Assistance to Firefighters Grt
h1001,SAFER grant 2010
h1002,Hazmat Grant 2010
h1003,Hazmat Grant 2009
h1004,VIPER Interop Gateways
h1005,Medical Ambulance Bus
h1006,Buffer Zone Protection Program
h1007,NCDCCPS Wireless Telcomm Eqpmt
h1008,Emergency Mngmt Bomb Unit Xray
i0601,Hurricane Recov BARP
j0601,National Weather Service Grant
k0901,21st Century Comm Learn Center
k0909,21st Century Com Lrn Cntr
k0922,21st Cent Comm Learn Cntr Yr1
k1009,21st Cent Com Lrn Cntr Year 2
k1022,21st Cent Comm Learn Cntr Yr2
k1122,21st Cent Comm Learn Cntr Yr3
l1000,ARRA Energy Eff Com Blck Grnt
l1100,ARRA LEAP Lcl Enrgy Assur Plan
l1108,ARRA - Blue Skies Green Jobs
n1001,FIT Community Grant
p1003,Red Wolf Improvements USDI
p1100,HIDTA 2011 Funding ONDCP
r1108,NC Arts Council 2011
x0901,MAJOR - SenateBill7 - Fld Dmg
x0902,MAJOR - TIP Enh - Pack Square
x0903,MAJOR - Emma Infrastructure
x0904,MAJOR - TIP Enh - Clingman Ave
z0941,Frnds of the Ntr Ctr - OLD HTE
z0942,AVL Parks & Grnway Foundation
z0943,Parks Direct Private Donations
z1041,Friends of the Nature Center
z1042,AVL Parks & Grnway Foundation
