FROM,2013,1,TO,2013,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6240,Stormwater Fund,,,,,,
,,,,,,,
31,Public Works Department,,,,,,
,,,,,,,
320,Stormwater Admin Division,,,,,,
,,,,,,,
6240-30-31-320-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-437100- Restrictd Intergv Otr Loc Part                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443100- Lic. & Permits - Permit Fees                  ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443102- Lic. & Prmts - Permit Fee Disc                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443120- Lic. & Prmt - Permit Violation                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443121- Lic.&Prmt-W/O Permit Violation                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443200- Lic. & Prmts - Inspection Fees                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443504- Bldg Permits & Insp Soil Erosn                ,-150000,0,-150000,-225019.34,0,75019.34,150.00%
6240-30-31-320-0000-00000-00000-000-443505- Bldg Permits & Insp Stormwater                ,-20000,0,-20000,-13464,0,-6536,67.30%
6240-30-31-320-0000-00000-00000-000-443517- Bldg Permits & Insp Floodplain                ,-10000,0,-10000,-15445,0,5445,154.50%
6240-30-31-320-0000-00000-00000-000-450012- Delinquent & Interest Fee                     ,-50000,0,-50000,-42622.2,0,-7377.8,85.20%
6240-30-31-320-0000-00000-00000-000-450700- Utility Charges                               ,-2739723,0,-2739723,-2815437.6,0,75714.6,102.80%
6240-30-31-320-0000-00000-00000-000-460000- Income from Investments                       ,-11000,0,-11000,-4361.82,0,-6638.18,39.70%
6240-30-31-320-0000-00000-00000-000-481455- Fines & Fees Permit Penalties                 ,-20000,0,-20000,-3944,0,-16056,19.70%
6240-30-31-320-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-492000- Installment Purch Proceed                     ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-493000- Debt Proceeds - DENR Funded                   ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,-290000,-123079,-413079,0,0,-413079,0.00%
6240-30-31-320-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-61541,-61541,0,0,-61540.51,0.00%
6240-30-31-320-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,235330,0,235330,204803.44,0,30526.56,87.00%
6240-30-31-320-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-511008- Compensation - Stand By Pay                   ,812,0,812,0,0,812,0.00%
6240-30-31-320-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,0,1056,0,0,1056,0.00%
6240-30-31-320-0000-00000-00000-000-511997- Contra Salaries and Wages FEMA                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-512001- FICA Tax Expense                              ,18003,0,18003,15461.91,0,2541.09,85.90%
6240-30-31-320-0000-00000-00000-000-512002- Employer - LGERS                              ,16191,0,16191,13812.58,0,2378.42,85.30%
6240-30-31-320-0000-00000-00000-000-512005- Employer - 401(K)                             ,11767,0,11767,10240.29,0,1526.71,87.00%
6240-30-31-320-0000-00000-00000-000-512010- Workers Compensation                          ,30319,0,30319,30318.97,0,0.03,100.00%
6240-30-31-320-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-512012- Vehicle Allowance                             ,3600,0,3600,3619.34,0,-19.34,100.50%
6240-30-31-320-0000-00000-00000-000-512014- Group Insurance Expense                       ,188486,-13777,174709,100824.09,0,73884.91,57.70%
6240-30-31-320-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-521001- Contracted Services                           ,5800,0,5800,3799.48,0,2000.52,65.50%
6240-30-31-320-0000-00000-00000-000-521002- Professional Services                         ,85699,73756,159455,350,0,159105,0.20%
6240-30-31-320-0000-00000-00000-000-521004- Rental/Lease                                  ,2750,377,3127,2264.34,0,862.35,72.40%
6240-30-31-320-0000-00000-00000-000-521005- Rental/Lease - Computers                      ,2200,0,2200,901.32,0,1298.73,41.00%
6240-30-31-320-0000-00000-00000-000-521007- Services - Outside Printing                   ,2000,2612,4612,4210,0,402.44,91.30%
6240-30-31-320-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,500,0,500,0,0,500,0.00%
6240-30-31-320-0000-00000-00000-000-521009- Services - Advertising                        ,1500,-1500,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,1000,0,1000,200.73,0,799.27,20.10%
6240-30-31-320-0000-00000-00000-000-523001- Training                                      ,2900,0,2900,2914.72,0,-14.72,100.50%
6240-30-31-320-0000-00000-00000-000-523002- Dues & Subscriptions                          ,500,-35,465,368.4,0,96.6,79.20%
6240-30-31-320-0000-00000-00000-000-524001- Supplies - Other                              ,6000,-3255,2745,2578.73,0,166.27,93.90%
6240-30-31-320-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,500,422,922,921.23,0,0.77,99.90%
6240-30-31-320-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,1000,-1000,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-524005- Supplies - Uniforms                           ,200,-148,52,52,0,0,100.00%
6240-30-31-320-0000-00000-00000-000-524009- Services - Postage                            ,30000,3788,33788,21581.86,0,12206.18,63.90%
