FROM,2011,1,TO,2011,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6220,Street Cut Utility Fund,,,,,,
,,,,,,,
31,Public Works Department,,,,,,
,,,,,,,
314,Street Cuts Division,,,,,,
,,,,,,,
62200314,Street Cut Fd - Street Cut Div,,,,,,
,,,,,,,
6220-20-31-314-0000-00000-00000-000-435997- Fed Revenue Distribut - FEMA                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-436997- State Revenue Distri - FEMA                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450002- Sales & Serv - Street Patches                 ,-631312,40000,-591312,0,0,-591312,0.00%
6220-20-31-314-0000-00000-00000-000-450003- Sales & Serv - Cap Recov Fee                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450004- Sales & Services - Permit Fees                ,0,-40000,-40000,-40000,0,0,100.00%
6220-20-31-314-0000-00000-00000-000-450006- Sales & Serv - Degredation Fee                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450008- Sales & Serv - Overlay Fees                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-460000- Income from Investments                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-482482- Fines & Fees Interest - Late C                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-492000- Installment Purch Proceed                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-492001- Installment Purch Premiums                    ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,802440,-273557,528883,359262.78,0,169620.22,67.90%
6220-20-31-314-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,41000,41000,2551.21,0,38448.79,6.20%
6220-20-31-314-0000-00000-00000-000-511008- Compensation - Stand By Pay                   ,0,5200,5200,3825.98,0,1374.02,73.60%
6220-20-31-314-0000-00000-00000-000-511997- Contra Salaries and Wages FEMA                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512001- FICA Tax Expense                              ,0,39451,39451,28364.78,0,11086.22,71.90%
