FROM,2011,1,TO,2011,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6100,Water Services Fund,,,,,,
,,,,,,,
91,Water Department,,,,,,
,,,,,,,
910,Water Administration,,,,,,
,,,,,,,
61000910,Wtr Svc Fd - Water Admin,,,,,,
,,,,,,,
6100-91-91-910-0000-00000-00000-000-450010- Charges for Services                          ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-450012- Delinquent & Interest Fee                     ,-780000,0,-780000,-883144.5,0,103144.5,113.20%
6100-91-91-910-0000-00000-00000-000-450705- Water Availability                            ,-50000,0,-50000,-43699,0,-6301,87.40%
6100-91-91-910-0000-00000-00000-000-450706- Water Reservation Fees                        ,-18000,0,-18000,-19072,0,1072,106.00%
6100-91-91-910-0000-00000-00000-000-453100- Chrgs for Serv-Plan Review Fee                ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,-3962.45,0,3962.45,0.00%
6100-91-91-910-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,465937,-7000,458937,472303.19,0,-13366.19,102.90%
6100-91-91-910-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,14000,14000,11245.61,0,2754.39,80.30%
6100-91-91-910-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,1314,1314,1313.85,0,0.15,100.00%
6100-91-91-910-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,2200,3256,2904.3,0,351.7,89.20%
6100-91-91-910-0000-00000-00000-000-512001- FICA Tax Expense                              ,34212,0,34212,35476.64,0,-1264.64,103.70%
6100-91-91-910-0000-00000-00000-000-512002- Employer - LGERS                              ,29654,0,29654,30312.2,0,-658.2,102.20%
6100-91-91-910-0000-00000-00000-000-512005- Employer - 401(K)                             ,23350,0,23350,23768.07,0,-418.07,101.80%
6100-91-91-910-0000-00000-00000-000-512012- Vehicle Allowance                             ,4800,0,4800,4449.34,0,350.66,92.70%
6100-91-91-910-0000-00000-00000-000-512014- Group Insurance Expense                       ,62472,0,62472,62472,0,0,100.00%
6100-91-91-910-0000-00000-00000-000-512018- Phone Allowance                               ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-521001- Contracted Services                           ,0,2448,2448,2349.88,0,98.12,96.00%
6100-91-91-910-0000-00000-00000-000-521004- Rental/Lease                                  ,6000,0,6000,4887,0,1113,81.50%
6100-91-91-910-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,0,0,0,0,0,0,0.00%
