Type,Budget 2014,Function,Department
Expense,1014067,Special Revenue Funds,911 Fund
Revenue,1014067,Special Revenue Funds,911 Fund Revenue
Expense,6063999,Education,A. B. Tech
Expense,1306449,Education,A. B. Tech Debt
Revenue,392400,General Fund,ABC Bottle Tax
Revenue,151889494,General Fund,Ad Valorem Tax
Expense,570766,Human Services,Aging Services/HCCBG
Expense,956432,Public Safety,Animal Services
Expense,1455349,Education,Asheville City Schools Capital Outlay
Revenue,1455349,Education,Asheville City Schools Capital Outlay Revenue
Expense,8526806,Education,Asheville City Schools Current Expense
Revenue,529465,General Fund,BAB Subsidy Payments
Expense,226055,Special Revenue Funds,BCAT Federal Forfeitures
Revenue,226055,Special Revenue Funds,BCAT Federal Forfeitures Revenue
Expense,196100,Special Revenue Funds,BCAT State Forfeitures
Revenue,196100,Special Revenue Funds,BCAT State Forfeitures Revenue
Expense,8644230,Education,Buncombe County Schools Capital Outlay
Revenue,8644230,Education,Buncombe County Schools Capital Outlay - Revenue
Expense,276116,Education,Buncombe County Schools Community School
Expense,48738512,Education,Buncombe County Schools Current Expense
Expense,1329481,Public Safety,CCBI
Revenue,743201,Public Safety,CCBI Revenue
Expense,151730,Public Safety,Clerk of Court/Probation
Expense,20000,"Community, Economic, & Cultural Development",Community Funding
Expense,235000,Physical Development,Community Funding
Expense,860250,Human Services,Community Funding
Expense,2126322,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev Debt"
Revenue,729301,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev Debt - Revenue"
Expense,906,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev OPEB"
Expense,440279,"Community, Economic, & Cultural Development",Cooperative Extension
Revenue,4900,"Community, Economic, & Cultural Development",Cooperative Extension Revenue
Expense,1039142,Administration,County Manager
Expense,2196032,Public Safety,Criminal Justice Information Systems
Revenue,1479932,Public Safety,Criminal Justice Information Systems Revenue
Expense,10479740,"Community, Economic, & Cultural Development",Culture & Recreation Authority
Revenue,10479740,"Community, Economic, & Cultural Development",Culture & Recreation Authority Revenue
Expense,3975395,"Community, Economic, & Cultural Development",Economic Development
Revenue,425000,"Community, Economic, & Cultural Development",Economic Development Revenue
Expense,1472440,General Government,Elections
Revenue,315000,General Government,Elections Revenue
Expense,10018817,Public Safety,Emergency Medical Services
Revenue,6254860,Public Safety,Emergency Medical Services Revenue
Expense,22224943,Special Revenue Funds,Fire Service Districts
Revenue,22224943,Special Revenue Funds,Fire Service Districts Revenue
Revenue,9345182,General Fund,Fund Balance Appropriation
Expense,2243547,General Government,General Government Debt
Expense,272464,General Government,General Government OPEB
Expense,7522507,Public Safety,General Services
Revenue,1145594,Public Safety,General Services Revenue
Expense,1043831,Administration,Governing Body/Public Relations
Revenue,68520,Administration,Governing Body/Public Relations Revenue
Expense,299250,Physical Development,Housing Trust
Expense,610119,Human Services,Human Services Contingency
Expense,3231620,Human Services,Human Services Debt
Expense,808175,Human Services,Human Services OPEB
Revenue,412762,General Fund,Indirect Costs
Expense,401846,Enterprise Funds,Inmate Commissary
Revenue,401846,Enterprise Funds,Inmate Commissary Revenue
Expense,26621277,Internal Service Fund,Insurance Fund
Revenue,26621277,Internal Service Fund,Insurance Fund Revenue
Revenue,9871908,General Fund,Interfund Transfers
Revenue,180000,General Fund,Intergovernmental
Revenue,175000,General Fund,Investment Earnings
Expense,182818,Public Safety,Justice Resource Center
Revenue,182818,Public Safety,Justice Resource Center Revenue
Expense,175000,Public Safety,Juvenile Detention Service
Expense,105000,Public Safety,Medical Examiner
Expense,1057500,Human Services,Mental Health
Revenue,6500,Human Services,Mental Health Revenue
