Type,FY 2015 Current Budget,School System,Fund,Group,Account
Expense,57,Asheville City Schools,Other Specific Revenue Fund,Non-programmed Charges,Indirect Cost
Expense,684,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Special Populations Services
Revenue,1000,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Homeless
Revenue,1252,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Headlthy and Ready to Learn
Expense,1311,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Financial & Human Resource Services
Revenue,2000,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Asheville City Schools Foundation (ACSF)
Expense,2500,Buncombe County Schools,Other Specific Revenue Fund,Ancillary Services,Community Services
Revenue,5000,Asheville City Schools,Capital Outlay Fund,Local Funds,Interest Earned
Expense,5000,Buncombe County Schools,Capital Outlay Fund,System-wide Support Services,Operational Support Services
Revenue,5906,Asheville City Schools,Capital Outlay Fund,Local Funds,Insurance Reimbursements
Revenue,6000,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Interest Earned
Revenue,7500,Asheville City Schools,Capital Outlay Fund,Local Funds,Sale of School Property
Revenue,7544,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Avery County-MSP Grant
Expense,8876,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Accountability Services
Revenue,9825,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Z Smith Reynolds
Expense,10000,Asheville City Schools,Capital Outlay Fund,Non-programmed Charges,Contingency
Revenue,10887,Asheville City Schools,Capital Outlay Fund,State Funds,Lighting Efficiency Grant
Expense,11156,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Special Populations Services
Expense,13179,Asheville City Schools,Local Current Expense Fund,Ancillary Services,Nutrition Services
Expense,14501,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Regular Instructional Services
Revenue,15000,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Rental of School Property
Expense,15000,Asheville City Schools,Capital Outlay Fund,System-wide Support Services,Technology Support Services
Revenue,17300,Asheville City Schools,Capital Outlay Fund,Local Funds,Contributions and Donations
Revenue,20000,Asheville City Schools,Local Current Expense Fund,Revenues,Interest Earned
