Account Code,Actual,Fund,Department,Division,Function,Cost Center
450037,-10000,6260,90,900,90,0000
450304,0,6260,90,900,90,0000
450306,-73461.84,6260,90,900,90,0000
450307,-178372.7,6260,90,900,90,0000
450308,-123825,6260,90,900,90,0000
450309,-24125,6260,90,900,90,0000
450310,-6000,6260,90,900,90,0000
450313,-140081,6260,90,900,90,0000
450318,-48621,6260,90,900,90,0000
450320,0,6260,90,900,90,0000
450351,0,6260,90,900,90,0000
450519,0,6260,90,900,90,0000
450602,0,6260,90,900,90,0000
460000,-7997.53,6260,90,900,90,0000
486000,-16000,6260,90,900,90,0000
488003,-121798.31,6260,90,900,90,0000
488014,0,6260,90,900,90,0000
489000,-8480.26,6260,90,900,90,0000
499100,0,6260,90,900,90,0000
499101,0,6260,90,900,90,0000
511001,153966.05,6260,90,900,90,0000
511002,0,6260,90,900,90,0000
511004,79.46,6260,90,900,90,0000
511010,873.98,6260,90,900,90,0000
512001,11478.07,6260,90,900,90,0000
512002,9850.06,6260,90,900,90,0000
512005,7751.05,6260,90,900,90,0000
512010,36444,6260,90,900,90,0000
512011,0,6260,90,900,90,0000
512012,1112.29,6260,90,900,90,0000
512014,22311,6260,90,900,90,0000
512020,0,6260,90,900,90,0000
512024,0,6260,90,900,90,0000
521001,144577.69,6260,90,900,90,0000
521002,0,6260,90,900,90,0000
521004,5965.8,6260,90,900,90,0000
521006,26365.35,6260,90,900,90,0000
521008,428.24,6260,90,900,90,0000
521009,608.86,6260,90,900,90,0000
522001,5637.72,6260,90,900,90,0000
522002,18552.81,6260,90,900,90,0000
522003,27754.94,6260,90,900,90,0000
522004,363.84,6260,90,900,90,0000
523001,4425.11,6260,90,900,90,0000
523002,1238.67,6260,90,900,90,0000
524001,17088.53,6260,90,900,90,0000
524003,0,6260,90,900,90,0000
524005,408.52,6260,90,900,90,0000
524009,1304.13,6260,90,900,90,0000
524101,9052.29,6260,90,900,90,0000
525001,20069,6260,90,900,90,0000
528001,0,6260,90,900,90,0000
528502,10256.4,6260,90,900,90,0000
528504,0,6260,90,900,90,0000
528505,1108.51,6260,90,900,90,0000
528506,0,6260,90,900,90,0000
528507,263,6260,90,900,90,0000
528508,171522.55,6260,90,900,90,0000
528510,54281.78,6260,90,900,90,0000
528512,13424.37,6260,90,900,90,0000
528514,12623.19,6260,90,900,90,0000
528522,0,6260,90,900,90,0000
571001,186.49,6260,90,900,90,0000
571002,0,6260,90,900,90,0000
571004,0,6260,90,900,90,0000
571999,0,6260,90,900,90,0000
574006,3651,6260,90,900,90,0000
574008,0,6260,90,900,90,0000
711101,0,6260,90,900,90,0000
712101,0,6260,90,900,90,0000
498101,0,6260,90,900,99,0000
800627,0,6260,90,900,99,0000
450512,-142976.84,6260,90,901,90,0000
511001,51300.72,6260,90,901,90,0000
511003,120239.65,6260,90,901,90,0000
511004,156,6260,90,901,90,0000
512001,12581.33,6260,90,901,90,0000
512002,3268.74,6260,90,901,90,0000
512005,2557.16,6260,90,901,90,0000
512014,8925,6260,90,901,90,0000
512024,0,6260,90,901,90,0000
511001,263692.56,6260,90,902,90,0000
511002,0,6260,90,902,90,0000
511003,16029.34,6260,90,902,90,0000
511004,6107.69,6260,90,902,90,0000
511008,2449.99,6260,90,902,90,0000
512001,21340.67,6260,90,902,90,0000
512002,17243.06,6260,90,902,90,0000
512005,13495.97,6260,90,902,90,0000
512012,0,6260,90,902,90,0000
512014,71423,6260,90,902,90,0000
512024,0,6260,90,902,90,0000
450358,-59112.63,6260,90,903,90,0000
450359,0,6260,90,903,90,0000
511001,79321,6260,90,903,90,0000
511002,0,6260,90,903,90,0000
511003,33230.87,6260,90,903,90,0000
511004,556.52,6260,90,903,90,0000
512001,8370,6260,90,903,90,0000
512002,5053.63,6260,90,903,90,0000
512005,3938.02,6260,90,903,90,0000
512014,26778,6260,90,903,90,0000
512024,0,6260,90,903,90,0000
450355,-95381,6260,90,904,90,0000
450405,-7368.61,6260,90,904,90,0000
450502,-9545.3,6260,90,904,90,0000
450504,-210386.36,6260,90,904,90,0000
450507,-176927.03,6260,90,904,90,0000
450508,-482626.35,6260,90,904,90,0000
450510,-22567.3,6260,90,904,90,0000
450511,-66598.39,6260,90,904,90,0000
511001,116974.06,6260,90,904,90,0000
511002,0,6260,90,904,90,0000
511003,92416.79,6260,90,904,90,0000
511004,2046.08,6260,90,904,90,0000
512001,15823.23,6260,90,904,90,0000
512002,7282.75,6260,90,904,90,0000
512005,5608.16,6260,90,904,90,0000
512014,26774,6260,90,904,90,0000
512024,0,6260,90,904,90,0000
521001,28613.85,6260,90,904,90,0000
521002,0,6260,90,904,90,0000
