Account Code,Actual,Fund,Department,Division,Function,Cost Center
511003,102453.34,1100,01,011,01,0000
512001,9022.22,1100,01,011,01,0000
512012,0,1100,01,011,01,0000
512014,0,1100,01,011,01,0000
512016,32852.73,1100,01,011,01,0000
512018,0,1100,01,011,01,0000
521002,266,1100,01,011,01,0000
521008,105,1100,01,011,01,0000
521009,0,1100,01,011,01,0000
522002,0,1100,01,011,01,0000
523001,9796.8,1100,01,011,01,0000
523002,111.93,1100,01,011,01,0000
524001,2306.98,1100,01,011,01,0000
524004,26.09,1100,01,011,01,0000
525001,10000,1100,01,011,01,0000
528010,528.33,1100,01,011,01,0000
528502,1273.44,1100,01,011,01,0000
528505,0,1100,01,011,01,0000
571004,0,1100,01,011,01,0000
450000,-103,1100,01,012,01,0000
450001,0,1100,01,012,01,0000
511001,82315.41,1100,01,012,01,0000
512001,6242.8,1100,01,012,01,0000
512002,4014.57,1100,01,012,01,0000
512005,4115.72,1100,01,012,01,0000
512012,2409.23,1100,01,012,01,0000
512014,6718,1100,01,012,01,0000
521001,0,1100,01,012,01,0000
521002,0,1100,01,012,01,0000
521008,63,1100,01,012,01,0000
522001,0,1100,01,012,01,0000
523001,1427.17,1100,01,012,01,0000
523002,183.29,1100,01,012,01,0000
524001,103.63,1100,01,012,01,0000
528502,181.92,1100,01,012,01,0000
450000,0,1100,01,013,01,0000
511001,444436.64,1100,01,013,01,0000
511003,21507.3,1100,01,013,01,0000
511004,457.8,1100,01,013,01,0000
511010,1977.94,1100,01,013,01,0000
512001,29319.18,1100,01,013,01,0000
512002,21668.85,1100,01,013,01,0000
512005,22309.21,1100,01,013,01,0000
512006,3379.43,1100,01,013,01,0000
512010,0,1100,01,013,01,0000
512011,0,1100,01,013,01,0000
512012,13250.79,1100,01,013,01,0000
512014,40311,1100,01,013,01,0000
512020,0,1100,01,013,01,0000
512024,0,1100,01,013,01,0000
521002,77,1100,01,013,01,0000
521004,2683.52,1100,01,013,01,0000
521008,0,1100,01,013,01,0000
521009,0,1100,01,013,01,0000
522002,0,1100,01,013,01,0000
523001,16931.39,1100,01,013,01,0000
523002,5283.56,1100,01,013,01,0000
524001,10352.14,1100,01,013,01,0000
524004,94.57,1100,01,013,01,0000
524009,1474.02,1100,01,013,01,0000
525001,6000,1100,01,013,01,0000
528003,0,1100,01,013,01,0000
528502,2728.8,1100,01,013,01,0000
528505,7718.73,1100,01,013,01,0000
528506,0,1100,01,013,01,0000
571004,0,1100,01,013,01,0000
450500,-2400,1100,01,014,01,0000
511001,166247.28,1100,01,014,01,0000
511002,0,1100,01,014,01,0000
511003,0,1100,01,014,01,0000
511004,884.52,1100,01,014,01,0000
512001,12079.28,1100,01,014,01,0000
512002,6801.06,1100,01,014,01,0000
512005,6899.01,1100,01,014,01,0000
512014,33592,1100,01,014,01,0000
521001,37390.39,1100,01,014,01,0000
521006,11567.45,1100,01,014,01,0000
521008,0,1100,01,014,01,0000
523001,0,1100,01,014,01,0000
523002,0,1100,01,014,01,0000
524001,1234.05,1100,01,014,01,0000
524005,0,1100,01,014,01,0000
524009,69033.09,1100,01,014,01,0000
528001,1300,1100,01,014,01,0000
528502,454.8,1100,01,014,01,0000
528505,432.15,1100,01,014,01,0000
528999,0,1100,01,014,01,0000
571001,0,1100,01,014,01,0000
571002,0,1100,01,014,01,0000
574007,-72679.12,1100,01,014,01,0000
437100,0,1100,01,015,01,0000
450000,0,1100,01,015,01,0000
511001,295803.15,1100,01,015,01,0000
511003,2920,1100,01,015,01,0000
511004,0,1100,01,015,01,0000
511010,5156.27,1100,01,015,01,0000
512001,21349.49,1100,01,015,01,0000
512002,14619.97,1100,01,015,01,0000
512005,15047.97,1100,01,015,01,0000
512012,1227.72,1100,01,015,01,0000
512014,68801,1100,01,015,01,0000
521001,80981.5,1100,01,015,01,0000
521002,285,1100,01,015,01,0000
521004,891.2,1100,01,015,01,0000
521007,2176.6,1100,01,015,01,0000
521008,0,1100,01,015,01,0000
521009,0,1100,01,015,01,0000
522002,3402,1100,01,015,01,0000
523001,2661.28,1100,01,015,01,0000
523002,5326.16,1100,01,015,01,0000
524001,7758.47,1100,01,015,01,0000
524004,75,1100,01,015,01,0000
524009,0,1100,01,015,01,0000
524101,335.39,1100,01,015,01,0000
528001,0,1100,01,015,01,0000
528003,617.5,1100,01,015,01,0000
528502,909.6,1100,01,015,01,0000
528505,295.61,1100,01,015,01,0000
571001,156.45,1100,01,015,01,0000
574007,0,1100,01,015,01,0000
436000,0,1100,01,015,01,1015
521001,0,1100,01,015,01,1015
498200,0,1100,01,015,99,0000
435000,0,1100,01,016,01,0000
436000,0,1100,01,016,01,0000
437100,-1500,1100,01,016,01,0000
483300,0,1100,01,016,01,0000
488014,0,1100,01,016,01,0000
511001,0,1100,01,016,01,0000
511002,0,1100,01,016,01,0000
511003,0,1100,01,016,01,0000
511004,0,1100,01,016,01,0000
511010,1251.1,1100,01,016,01,0000
512001,0,1100,01,016,01,0000
512002,0,1100,01,016,01,0000
512005,0,1100,01,016,01,0000
512014,0,1100,01,016,01,0000
521001,0,1100,01,016,01,0000
521002,0,1100,01,016,01,0000
521004,0,1100,01,016,01,0000
521007,0,1100,01,016,01,0000
521008,0,1100,01,016,01,0000
522002,0,1100,01,016,01,0000
523001,25,1100,01,016,01,0000
523002,0,1100,01,016,01,0000
524001,4321.11,1100,01,016,01,0000
524004,0,1100,01,016,01,0000
524009,0,1100,01,016,01,0000
528502,0,1100,01,016,01,0000
528505,0,1100,01,016,01,0000
571001,0,1100,01,016,01,0000
571002,0,1100,01,016,01,0000
571004,0,1100,01,016,01,0000
614101,0,1100,01,016,01,0000
616101,0,1100,01,016,01,0000
511001,0,1100,01,01a,01,0000
512001,0,1100,01,01a,01,0000
512002,0,1100,01,01a,01,0000
512005,0,1100,01,01a,01,0000
512012,0,1100,01,01a,01,0000
512014,0,1100,01,01a,01,0000
521001,0,1100,01,01a,01,0000
523001,0,1100,01,01a,01,0000
523002,0,1100,01,01a,01,0000
450322,0,1100,01,131,01,0000
511001,293751.82,1100,01,131,01,0000
511004,18617.78,1100,01,131,01,0000
511008,0,1100,01,131,01,0000
511999,0,1100,01,131,01,0000
512001,22899.94,1100,01,131,01,0000
512002,14244.67,1100,01,131,01,0000
512005,14586.19,1100,01,131,01,0000
512014,53747,1100,01,131,01,0000
521001,0,1100,01,131,01,0000
521004,379,1100,01,131,01,0000
521008,0,1100,01,131,01,0000
521009,296.5,1100,01,131,01,0000
522001,0,1100,01,131,01,0000
522003,0,1100,01,131,01,0000
522009,0,1100,01,131,01,0000
523001,1984.84,1100,01,131,01,0000
523002,0,1100,01,131,01,0000
524001,1957.81,1100,01,131,01,0000
524003,0,1100,01,131,01,0000
524005,0,1100,01,131,01,0000
524101,8455.8,1100,01,131,01,0000
528001,115,1100,01,131,01,0000
528502,2606.96,1100,01,131,01,0000
528503,0,1100,01,131,01,0000
528505,888.88,1100,01,131,01,0000
528508,122082.92,1100,01,131,01,0000
528510,45041.17,1100,01,131,01,0000
528512,8799.43,1100,01,131,01,0000
528514,4666.4,1100,01,131,01,0000
528522,0,1100,01,131,01,0000
571001,13732.16,1100,01,131,01,0000
571002,0,1100,01,131,01,0000
571004,0,1100,01,131,01,0000
571999,0,1100,01,131,01,0000
612101,0,1100,01,131,01,0000
614101,0,1100,01,131,01,0000
616101,0,1100,01,131,01,0000
450000,0,1100,01,313,01,0000
450103,-828213.06,1100,01,313,01,0000
450104,-4565.2,1100,01,313,01,0000
450107,-9278.69,1100,01,313,01,0000
450300,-9438.45,1100,01,313,01,0000
450310,0,1100,01,313,01,0000
511001,471886.86,1100,01,313,01,0000
511002,0,1100,01,313,01,0000
511003,57796.49,1100,01,313,01,0000
511004,35346.18,1100,01,313,01,0000
511008,2610,1100,01,313,01,0000
511010,0,1100,01,313,01,0000
512001,40902.2,1100,01,313,01,0000
512002,23267.31,1100,01,313,01,0000
512005,23944.36,1100,01,313,01,0000
512014,94057,1100,01,313,01,0000
521001,6123.53,1100,01,313,01,0000
521002,17.5,1100,01,313,01,0000
521006,348.39,1100,01,313,01,0000
521008,0,1100,01,313,01,0000
522002,13104.5,1100,01,313,01,0000
522003,50.68,1100,01,313,01,0000
523001,2585.69,1100,01,313,01,0000
523002,351.35,1100,01,313,01,0000
524001,47569.98,1100,01,313,01,0000
524003,6845.53,1100,01,313,01,0000
524005,7351.63,1100,01,313,01,0000
524006,1217068.2,1100,01,313,01,0000
524007,823123.7,1100,01,313,01,0000
524009,253.53,1100,01,313,01,0000
524016,0,1100,01,313,01,0000
524101,729.95,1100,01,313,01,0000
524102,3376.67,1100,01,313,01,0000
524105,-1660.04,1100,01,313,01,0000
525001,32557,1100,01,313,01,0000
528001,1874.85,1100,01,313,01,0000
528006,654.28,1100,01,313,01,0000
528502,2274,1100,01,313,01,0000
528504,1124.4,1100,01,313,01,0000
528505,1829.41,1100,01,313,01,0000
528508,18940.72,1100,01,313,01,0000
528509,1689.08,1100,01,313,01,0000
528510,9936.77,1100,01,313,01,0000
528518,52984.57,1100,01,313,01,0000
528519,-728.06,1100,01,313,01,0000
528522,0,1100,01,313,01,0000
528523,0,1100,01,313,01,0000
571001,9804.05,1100,01,313,01,0000
571002,0,1100,01,313,01,0000
571004,0,1100,01,313,01,0000
574007,-1982036.3,1100,01,313,01,0000
614101,13155.71,1100,01,313,01,0000
571001,0,1100,01,313,01,3130
571002,0,1100,01,313,01,3130
571004,0,1100,01,313,01,3130
574007,0,1100,01,313,01,3130
498200,-16528.93,1100,01,313,99,0000
511001,429431.66,1100,02,020,01,0000
511002,10804.06,1100,02,020,01,0000
511003,0,1100,02,020,01,0000
511004,9313.5,1100,02,020,01,0000
512001,30688.99,1100,02,020,01,0000
512002,20971.98,1100,02,020,01,0000
512005,21559.22,1100,02,020,01,0000
512010,0,1100,02,020,01,0000
512011,0,1100,02,020,01,0000
512012,2409.29,1100,02,020,01,0000
512014,42873,1100,02,020,01,0000
512018,128.52,1100,02,020,01,0000
512020,0,1100,02,020,01,0000
512024,0,1100,02,020,01,0000
521001,2875.3,1100,02,020,01,0000
521002,0,1100,02,020,01,0000
521003,77396.77,1100,02,020,01,0000
521004,0,1100,02,020,01,0000
521008,697.81,1100,02,020,01,0000
521009,0,1100,02,020,01,0000
522001,0,1100,02,020,01,0000
523001,4426.75,1100,02,020,01,0000
523002,24882.66,1100,02,020,01,0000
524001,1398.7,1100,02,020,01,0000
524004,627.95,1100,02,020,01,0000
524009,530.41,1100,02,020,01,0000
528502,1637.28,1100,02,020,01,0000
528503,0,1100,02,020,01,0000
528505,253.41,1100,02,020,01,0000
450010,0,1100,03,010,01,0000
498001,-2676753,1100,03,010,01,0000
499100,0,1100,03,010,01,0000
499101,0,1100,03,010,01,0000
511001,142881.95,1100,03,010,01,0000
511004,0,1100,03,010,01,0000
512001,10559.63,1100,03,010,01,0000
512002,6954.54,1100,03,010,01,0000
512005,7144.14,1100,03,010,01,0000
512014,20155,1100,03,010,01,0000
521008,1865,1100,03,010,01,0000
521009,420,1100,03,010,01,0000
523001,2369.47,1100,03,010,01,0000
523002,947.33,1100,03,010,01,0000
524001,61.72,1100,03,010,01,0000
524004,0,1100,03,010,01,0000
524009,70.91,1100,03,010,01,0000
528001,0,1100,03,010,01,0000
528502,363.84,1100,03,010,01,0000
528503,0,1100,03,010,01,0000
528505,0,1100,03,010,01,0000
486000,-21933,1100,03,017,01,0000
489000,-6210.94,1100,03,017,01,0000
511001,259181.85,1100,03,017,01,0000
