Account Code,Actual,Fund,Department,Division,Function,Cost Center
460000,0,6200,21,220,20,0000
482401,0,6200,21,220,20,0000
482403,0,6200,21,220,20,0000
482404,0,6200,21,220,20,0000
482405,0,6200,21,220,20,0000
482406,0,6200,21,220,20,0000
482480,0,6200,21,220,20,0000
482482,0,6200,21,220,20,0000
484400,0,6200,21,220,20,0000
486000,0,6200,21,220,20,0000
489000,0,6200,21,220,20,0000
492002,0,6200,21,220,20,0000
492003,0,6200,21,220,20,0000
499100,0,6200,21,220,20,0000
499101,-98314,6200,21,220,20,0000
511001,0,6200,21,220,20,0000
511002,0,6200,21,220,20,0000
511003,0,6200,21,220,20,0000
511004,0,6200,21,220,20,0000
511008,0,6200,21,220,20,0000
511010,0,6200,21,220,20,0000
512001,0,6200,21,220,20,0000
512002,0,6200,21,220,20,0000
512005,0,6200,21,220,20,0000
512010,0,6200,21,220,20,0000
512011,0,6200,21,220,20,0000
512012,0,6200,21,220,20,0000
512014,0,6200,21,220,20,0000
512024,0,6200,21,220,20,0000
521001,0,6200,21,220,20,0000
521004,0,6200,21,220,20,0000
521005,0,6200,21,220,20,0000
521006,0,6200,21,220,20,0000
521007,0,6200,21,220,20,0000
521008,0,6200,21,220,20,0000
521009,0,6200,21,220,20,0000
521010,1171,6200,21,220,20,0000
522001,-2722,6200,21,220,20,0000
522002,-10000,6200,21,220,20,0000
522003,35575,6200,21,220,20,0000
522006,0,6200,21,220,20,0000
523001,0,6200,21,220,20,0000
523002,0,6200,21,220,20,0000
524001,2498,6200,21,220,20,0000
524003,0,6200,21,220,20,0000
524005,-300,6200,21,220,20,0000
524101,0,6200,21,220,20,0000
525001,0,6200,21,220,20,0000
528001,0,6200,21,220,20,0000
528005,5502,6200,21,220,20,0000
528008,0,6200,21,220,20,0000
528012,0,6200,21,220,20,0000
528201,0,6200,21,220,20,0000
528202,0,6200,21,220,20,0000
528502,0,6200,21,220,20,0000
528503,0,6200,21,220,20,0000
528508,0,6200,21,220,20,0000
528512,0,6200,21,220,20,0000
528514,0,6200,21,220,20,0000
528522,0,6200,21,220,20,0000
571001,0,6200,21,220,20,0000
571002,0,6200,21,220,20,0000
571004,0,6200,21,220,20,0000
571999,0,6200,21,220,20,0000
573001,0,6200,21,220,20,0000
574006,0,6200,21,220,20,0000
574008,0,6200,21,220,20,0000
581091,-50000,6200,21,220,20,0000
614101,35682,6200,21,220,20,0000
616101,45000,6200,21,220,20,0000
711101,0,6200,21,220,20,0000
711150,0,6200,21,220,20,0000
712101,0,6200,21,220,20,0000
712201,0,6200,21,220,20,0000
712210,0,6200,21,220,20,0000
800110,0,6200,21,220,99,0000
800650,0,6200,21,220,99,0000
450010,0,6200,21,221,20,0000
450312,0,6200,21,221,20,0000
482400,0,6200,21,221,20,0000
482407,0,6200,21,221,20,0000
482408,0,6200,21,221,20,0000
482409,0,6200,21,221,20,0000
482410,0,6200,21,221,20,0000
482411,0,6200,21,221,20,0000
482412,0,6200,21,221,20,0000
482420,0,6200,21,221,20,0000
482450,0,6200,21,221,20,0000
482451,0,6200,21,221,20,0000
482456,0,6200,21,221,20,0000
482457,0,6200,21,221,20,0000
482470,0,6200,21,221,20,0000
482471,0,6200,21,221,20,0000
482478,0,6200,21,221,20,0000
482480,0,6200,21,221,20,0000
482482,0,6200,21,221,20,0000
489020,0,6200,21,221,20,0000
511001,0,6200,21,221,20,0000
511002,0,6200,21,221,20,0000
511003,0,6200,21,221,20,0000
511004,0,6200,21,221,20,0000
511008,0,6200,21,221,20,0000
512001,0,6200,21,221,20,0000
512002,0,6200,21,221,20,0000
512005,0,6200,21,221,20,0000
512012,0,6200,21,221,20,0000
512014,0,6200,21,221,20,0000
512024,0,6200,21,221,20,0000
521001,40000,6200,21,221,20,0000
521002,-40930,6200,21,221,20,0000
521003,0,6200,21,221,20,0000
521004,14625,6200,21,221,20,0000
521008,3000,6200,21,221,20,0000
522002,2700,6200,21,221,20,0000
522003,0,6200,21,221,20,0000
522006,0,6200,21,221,20,0000
523001,0,6200,21,221,20,0000
523002,0,6200,21,221,20,0000
524001,0,6200,21,221,20,0000
524005,300,6200,21,221,20,0000
524009,0,6200,21,221,20,0000
524101,-5653,6200,21,221,20,0000
528001,0,6200,21,221,20,0000
528012,0,6200,21,221,20,0000
528201,0,6200,21,221,20,0000
528202,0,6200,21,221,20,0000
528502,0,6200,21,221,20,0000
528505,0,6200,21,221,20,0000
528510,0,6200,21,221,20,0000
573001,465,6200,21,221,20,0000
611101,0,6200,21,221,20,0000
614101,0,6200,21,221,20,0000
616101,3901,6200,21,221,20,0000
