Account Code,Actual,Fund,Department,Division,Function,Cost Center
435997,0,6220,31,314,20,0000
436997,0,6220,31,314,20,0000
450000,0,6220,31,314,20,0000
450002,0,6220,31,314,20,0000
450003,0,6220,31,314,20,0000
450004,0,6220,31,314,20,0000
450006,0,6220,31,314,20,0000
450008,0,6220,31,314,20,0000
460000,0,6220,31,314,20,0000
482482,0,6220,31,314,20,0000
492000,0,6220,31,314,20,0000
492001,-1949,6220,31,314,20,0000
499100,-5854,6220,31,314,20,0000
499101,-60050,6220,31,314,20,0000
511001,5000,6220,31,314,20,0000
511003,0,6220,31,314,20,0000
511004,6600,6220,31,314,20,0000
511008,0,6220,31,314,20,0000
511997,0,6220,31,314,20,0000
512001,1500,6220,31,314,20,0000
512002,6400,6220,31,314,20,0000
512005,3500,6220,31,314,20,0000
512010,0,6220,31,314,20,0000
512011,0,6220,31,314,20,0000
512012,0,6220,31,314,20,0000
512014,0,6220,31,314,20,0000
512024,5854,6220,31,314,20,0000
521001,206,6220,31,314,20,0000
521002,0,6220,31,314,20,0000
521004,0,6220,31,314,20,0000
521008,0,6220,31,314,20,0000
521009,0,6220,31,314,20,0000
522002,0,6220,31,314,20,0000
522997,0,6220,31,314,20,0000
523001,3876,6220,31,314,20,0000
523002,0,6220,31,314,20,0000
524001,-108157,6220,31,314,20,0000
524003,-2950,6220,31,314,20,0000
524004,0,6220,31,314,20,0000
524005,4451,6220,31,314,20,0000
524101,73765,6220,31,314,20,0000
524997,0,6220,31,314,20,0000
525001,0,6220,31,314,20,0000
528001,0,6220,31,314,20,0000
528013,0,6220,31,314,20,0000
528102,0,6220,31,314,20,0000
528202,0,6220,31,314,20,0000
528502,0,6220,31,314,20,0000
528503,0,6220,31,314,20,0000
528504,0,6220,31,314,20,0000
528505,2350,6220,31,314,20,0000
528506,0,6220,31,314,20,0000
571001,-21566,6220,31,314,20,0000
571002,40866,6220,31,314,20,0000
571004,0,6220,31,314,20,0000
571999,0,6220,31,314,20,0000
574008,0,6220,31,314,20,0000
581091,0,6220,31,314,20,0000
614101,44209,6220,31,314,20,0000
616101,0,6220,31,314,20,0000
711101,0,6220,31,314,20,0000
712101,0,6220,31,314,20,0000
712201,1949,6220,31,314,20,0000
712210,0,6220,31,314,20,0000
498301,0,6220,31,314,99,0000
498302,0,6220,31,314,99,0000
450003,0,6220,31,999,20,0000
492000,0,6220,31,999,20,0000
492001,0,6220,31,999,20,0000
511001,0,6220,31,999,20,0000
512001,0,6220,31,999,20,0000
512002,0,6220,31,999,20,0000
512005,0,6220,31,999,20,0000
512019,0,6220,31,999,20,0000
512024,0,6220,31,999,20,0000
581091,0,6220,31,999,20,0000
611101,0,6220,31,999,20,0000
612101,0,6220,31,999,20,0000
614101,0,6220,31,999,20,0000
615101,0,6220,31,999,20,0000
712101,0,6220,31,999,20,0000
