Account Code,Actual,Fund,Department,Division,Function,Cost Center
450010,0,6100,91,910,91,0000
450012,-883144.5,6100,91,910,91,0000
450705,-43699,6100,91,910,91,0000
450706,-19072,6100,91,910,91,0000
453100,0,6100,91,910,91,0000
489000,-3962.45,6100,91,910,91,0000
511001,472303.19,6100,91,910,91,0000
511003,11245.61,6100,91,910,91,0000
511004,1313.85,6100,91,910,91,0000
511010,2904.3,6100,91,910,91,0000
512001,35476.64,6100,91,910,91,0000
512002,30312.2,6100,91,910,91,0000
512005,23768.07,6100,91,910,91,0000
512012,4449.34,6100,91,910,91,0000
512014,62472,6100,91,910,91,0000
512018,0,6100,91,910,91,0000
512024,0,6100,91,910,91,0000
521001,2349.88,6100,91,910,91,0000
521004,4887,6100,91,910,91,0000
521008,0,6100,91,910,91,0000
521009,0,6100,91,910,91,0000
522001,0,6100,91,910,91,0000
523001,1751.1,6100,91,910,91,0000
523002,26822.02,6100,91,910,91,0000
524001,8107.5,6100,91,910,91,0000
524003,0,6100,91,910,91,0000
524004,0,6100,91,910,91,0000
528001,33943.19,6100,91,910,91,0000
528502,2496,6100,91,910,91,0000
528503,0,6100,91,910,91,0000
528504,0,6100,91,910,91,0000
528505,3363.7,6100,91,910,91,0000
571001,288.19,6100,91,910,91,0000
571002,0,6100,91,910,91,0000
571004,0,6100,91,910,91,0000
436000,0,6100,91,911,91,0000
436001,-32779.91,6100,91,911,91,0000
450010,0,6100,91,911,91,0000
450503,0,6100,91,911,91,0000
450707,0,6100,91,911,91,0000
460000,-142299.9,6100,91,911,91,0000
486000,-20376,6100,91,911,91,0000
488012,-13784.03,6100,91,911,91,0000
489000,-92820.55,6100,91,911,91,0000
498001,0,6100,91,911,91,0000
499100,0,6100,91,911,91,0000
499101,0,6100,91,911,91,0000
511001,0,6100,91,911,91,0000
512008,7038,6100,91,911,91,0000
512010,179107,6100,91,911,91,0000
512011,0,6100,91,911,91,0000
512014,0,6100,91,911,91,0000
512024,0,6100,91,911,91,0000
521002,3352.95,6100,91,911,91,0000
521003,0,6100,91,911,91,0000
521004,0,6100,91,911,91,0000
521005,47573.32,6100,91,911,91,0000
521007,0,6100,91,911,91,0000
521009,0,6100,91,911,91,0000
521013,0,6100,91,911,91,0000
524001,15027.64,6100,91,911,91,0000
524009,210300.68,6100,91,911,91,0000
525001,803983,6100,91,911,91,0000
528005,155006.97,6100,91,911,91,0000
528013,0,6100,91,911,91,0000
528201,4137.1,6100,91,911,91,0000
528202,0,6100,91,911,91,0000
573001,17903.07,6100,91,911,91,0000
574001,0,6100,91,911,91,0000
574005,0,6100,91,911,91,0000
574006,28300,6100,91,911,91,0000
574008,2499821,6100,91,911,91,0000
581091,0,6100,91,911,91,0000
611101,0,6100,91,911,91,0000
614101,35955.67,6100,91,911,91,0000
616101,0,6100,91,911,91,0000
711101,3652519.85,6100,91,911,91,0000
712101,3456543.64,6100,91,911,91,0000
712201,0,6100,91,911,91,0000
712202,8020,6100,91,911,91,0000
498601,0,6100,91,911,99,0000
498619,0,6100,91,911,99,0000
498639,0,6100,91,911,99,0000
498641,0,6100,91,911,99,0000
800110,0,6100,91,911,99,0000
800410,341000,6100,91,911,99,0000
800610,0,6100,91,911,99,0000
800611,5625000,6100,91,911,99,0000
800622,1084299,6100,91,911,99,0000
482482,0,6100,91,912,91,0000
489000,-637.2,6100,91,912,91,0000
511001,768710.33,6100,91,912,91,0000
511003,10666.42,6100,91,912,91,0000
511004,4991.86,6100,91,912,91,0000
512001,57376.72,6100,91,912,91,0000
512002,49020.74,6100,91,912,91,0000
512005,38448.41,6100,91,912,91,0000
512014,196339,6100,91,912,91,0000
512024,0,6100,91,912,91,0000
521001,7137.38,6100,91,912,91,0000
521002,0,6100,91,912,91,0000
521004,11348.33,6100,91,912,91,0000
521007,0,6100,91,912,91,0000
521008,3308.6,6100,91,912,91,0000
522001,16970.47,6100,91,912,91,0000
523001,1093.5,6100,91,912,91,0000
523002,0,6100,91,912,91,0000
524001,14721.59,6100,91,912,91,0000
528001,0,6100,91,912,91,0000
528012,279.68,6100,91,912,91,0000
