FROM,2011,1,TO,2011,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6260,Civic Center Fund,,,,,,
,,,,,,,
90,Civic Center Department,,,,,,
,,,,,,,
900,Civic Center Administration,,,,,,
,,,,,,,
62600900,Civ Ctr Fd - Civic Center Admi,,,,,,
,,,,,,,
6260-90-90-900-0000-00000-00000-000-450037- Civic Center Advertising                      ,-10000,0,-10000,-10000,0,0,100.00%
6260-90-90-900-0000-00000-00000-000-450304- Rents - Park Shelters                         ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450306- Rents - Equipment Rental                      ,-121000,0,-121000,-73461.84,0,-47538.16,60.70%
6260-90-90-900-0000-00000-00000-000-450307- Rents - Buildings & Arena                     ,-210000,0,-210000,-178372.7,0,-31627.3,84.90%
6260-90-90-900-0000-00000-00000-000-450308- Rents - Auditorium                            ,-142000,0,-142000,-123825,0,-18175,87.20%
6260-90-90-900-0000-00000-00000-000-450309- Rents - Exhibit Space                         ,-48750,0,-48750,-24125,0,-24625,49.50%
6260-90-90-900-0000-00000-00000-000-450310- Rents - Meeting Room                          ,-9000,0,-9000,-6000,0,-3000,66.70%
6260-90-90-900-0000-00000-00000-000-450313- Rents - Facility Fees                         ,-170000,0,-170000,-140081,0,-29919,82.40%
6260-90-90-900-0000-00000-00000-000-450318- Rents - Nontaxable Equipment                  ,0,0,0,-48621,0,48621,0.00%
6260-90-90-900-0000-00000-00000-000-450320- Rent - Avl Symphony                           ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450351- Skate Admission                               ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450519- ATM - Fee                                     ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450602- Advertising Revenue                           ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-460000- Income from Investments                       ,-70000,0,-70000,-7997.53,0,-62002.47,11.40%
6260-90-90-900-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,-16000,0,16000,0.00%
6260-90-90-900-0000-00000-00000-000-488003- 2% Capital Maint Fee                          ,-70900,0,-70900,-121798.31,0,50898.31,171.80%
6260-90-90-900-0000-00000-00000-000-488014- Energy Efficiency Rebate                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,-3500,0,-3500,-8480.26,0,4980.26,242.30%
6260-90-90-900-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-104012,-104012,0,0,-104012.28,0.00%
