FROM,2012,1,TO,2012,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
1100,General Fund,,,,,,
,,,,,,,
1,Administration Services Dept,,,,,,
,,,,,,,
11,Governing Body Division,,,,,,
,,,,,,,
1100-01-01-011-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,105000,33000,138000,137031.13,0,968.87,99.30%
1100-01-01-011-0000-00000-00000-000-512001- FICA Tax Expense                              ,8369,0,8369,9365.15,0,-996.15,111.90%
1100-01-01-011-0000-00000-00000-000-512012- Vehicle Allowance                             ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512014- Group Insurance Expense                       ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512016- Expense Allowance                             ,33000,-33000,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512018- Phone Allowance                               ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521009- Services - Advertising                        ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-523001- Training                                      ,16000,-91,15909,17819.12,0,-1909.95,112.00%
1100-01-01-011-0000-00000-00000-000-523002- Dues & Subscriptions                          ,750,0,750,928.15,0,-178.15,123.80%
1100-01-01-011-0000-00000-00000-000-524001- Supplies - Other                              ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,150,0,150,132.9,0,17.1,88.60%
1100-01-01-011-0000-00000-00000-000-525001- Insurance & Bonds                             ,10000,0,10000,10000,0,0,100.00%
1100-01-01-011-0000-00000-00000-000-528010- Special  Events                               ,1000,0,1000,1000,0,0,100.00%
1100-01-01-011-0000-00000-00000-000-528502- Telephone                                     ,1200,144,1344,1344,0,0,100.00%
1100-01-01-011-0000-00000-00000-000-528505- Cellular Usage                                ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Governing Body Division       ,175469,53,175522,177620.45,0,-2098.28,101.20%
,,,,,,,
,,,,,,,
12,City Clerk Division,,,,,,
,,,,,,,
1100-01-01-012-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,-132.5,0,132.5,0.00%
1100-01-01-012-0000-00000-00000-000-450001- Applications Fees                             ,0,0,0,-1215,0,1215,0.00%
1100-01-01-012-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,82225,0,82225,82346.91,0,-121.91,100.10%
1100-01-01-012-0000-00000-00000-000-512001- FICA Tax Expense                              ,6245,0,6245,6262.38,0,-17.38,100.30%
1100-01-01-012-0000-00000-00000-000-512002- Employer - LGERS                              ,5657,0,5657,5665.35,0,-8.35,100.10%
1100-01-01-012-0000-00000-00000-000-512005- Employer - 401(K)                             ,4111,0,4111,4117.28,0,-6.28,100.20%
1100-01-01-012-0000-00000-00000-000-512012- Vehicle Allowance                             ,2400,0,2400,2409.29,0,-9.29,100.40%
1100-01-01-012-0000-00000-00000-000-512014- Group Insurance Expense                       ,8925,0,8925,8925,0,0,100.00%
1100-01-01-012-0000-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
1100-01-01-012-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
1100-01-01-012-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,900,-750,150,0,0,150,0.00%
1100-01-01-012-0000-00000-00000-000-522001- Maintenance and Repairs                       ,0,0,0,0,0,0,0.00%
1100-01-01-012-0000-00000-00000-000-523001- Training                                      ,1700,-1100,600,290.04,0,309.96,48.30%
1100-01-01-012-0000-00000-00000-000-523002- Dues & Subscriptions                          ,270,100,370,275,0,95,74.30%
1100-01-01-012-0000-00000-00000-000-524001- Supplies - Other                              ,526,1750,2276,548.17,0,1727.83,24.10%
1100-01-01-012-0000-00000-00000-000-528502- Telephone                                     ,192,0,192,192,0,0,100.00%
,,,,,,,
TOTAL City Clerk Division           ,113151,0,113151,109683.92,0,3467.08,96.90%
,,,,,,,
,,,,,,,
13,City Manager,,,,,,
,,,,,,,
1100-01-01-013-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,0,0,0,0.00%
1100-01-01-013-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,377000,0,377000,377966.24,0,-966.24,100.30%
1100-01-01-013-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,20000,3441,23441,23440.49,0,0.51,100.00%
1100-01-01-013-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,0,0,0,0,0,0.00%
1100-01-01-013-0000-00000-00000-000-511010- Quality of Serv Award                         ,1053,0,1053,252.89,0,800.11,24.00%
1100-01-01-013-0000-00000-00000-000-512001- FICA Tax Expense                              ,30667,0,30667,24478.29,0,6188.71,79.80%
1100-01-01-013-0000-00000-00000-000-512002- Employer - LGERS                              ,26741,0,26741,27487.84,0,-746.84,102.80%
1100-01-01-013-0000-00000-00000-000-512005- Employer - 401(K)                             ,19434,4806,24240,24239.57,0,0.43,100.00%
1100-01-01-013-0000-00000-00000-000-512006- Employer - 457                                ,3376,0,3376,3380.72,0,-4.72,100.10%
1100-01-01-013-0000-00000-00000-000-512010- Workers Compensation                          ,0,0,0,0,0,0,0.00%
1100-01-01-013-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
1100-01-01-013-0000-00000-00000-000-512012- Vehicle Allowance                             ,13217,0,13217,13250.96,0,-33.96,100.30%
1100-01-01-013-0000-00000-00000-000-512014- Group Insurance Expense                       ,40698,0,40698,40698,0,0,100.00%
1100-01-01-013-0000-00000-00000-000-512020- Fringe Ben - Housing Allowance                ,0,0,0,0,0,0,0.00%
1100-01-01-013-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
