FROM,2011,1,TO,2011,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6500,Mass Transit Fund,,,,,,
,,,,,,,
21,Transportation Department,,,,,,
,,,,,,,
950,Transit Administration Div,,,,,,
,,,,,,,
65000950,Mass Tr Fd - Transit Admin,,,,,,
,,,,,,,
6500-95-21-950-0000-00000-00000-000-435000- Restricted Intergov Fed Grants                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435100- Rstrctd Intrgv Fed Grants Oper                ,0,0,0,-8125.02,0,8125.02,0.00%
6500-95-21-950-0000-00000-00000-000-435505- Rstrd Intrgov-Fed prtn of MPO                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435507- Rstrtd Intrgv - FTA Formula                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435516- Rstrtd Intrgv - FTA JARC                      ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435521- Rstrtd Intrgv - FTA New Freedm                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,-1493744,1493744,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-436505- Rstrd Intrgov-St prtn of MPO                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-437000- Restrictd Intergv County Parti                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-437100- Restrictd Intergv Otr Loc Part                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-450604- Bus Lease                                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-460000- Income from Investments                       ,0,0,0,-1400.53,0,1400.53,0.00%
6500-95-21-950-0000-00000-00000-000-483304- Private Donations - Restricted                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,144532,0,144532,151539.86,0,-7007.86,104.80%
6500-95-21-950-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,750,0,-750,0.00%
6500-95-21-950-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,0,1056,0,0,1056,0.00%
6500-95-21-950-0000-00000-00000-000-512001- FICA Tax Expense                              ,10757,0,10757,11333.49,0,-576.49,105.40%
