Object Code,Description
101000,Pooled Cash
101001,Wells Fargo
101002,Payroll - B of A
101003,Transit
101004,Civic Center Alcohol Checking
101005,Civic Center Box Office
101006,Section 108 Loan 2 Bank 7122
101007,Section 108 Loan 1 Bank 7711
101008,Home Program
101009,Work Comp - Gen Liab Bank Acct
101010,Employee Med Benefit Trust
101011,Employee Med Benefit Checking
101012,Affordable Housing Program
101013,Flexible Spending Checking Acc
101014,SCA Work Comp Bank Acct
101015,Civic Cent Box Office Checking
101016,Money Market
101017,Mutual Funds
101050,Installment PC FY11 - LivStCtr
101051,BB&T LOB 2012 Proceeds
101052,BB&T LOBS 2012 Prin.
101053,BB&T LOBS 2012 Int
101054,IL 2013 A TD Bank
101055,IL 2013 B TD Bank
101101,BNY COPS 97A Principal
101102,BNY COPS 97A Interest
101103,BNY COPS 97C Principal
101104,BNY COPS 97C Interest
101105,BNY Revenue 05 Principal
101106,BNY Revenue 05 Interest
101107,BNY Revenue 07 Principal
101108,BNY Revenue 07 Interest
102001,Change Fund - Water Cust Serv
102002,Petty Cash - Build Safety Adm
102003,Change Fund - Build Safe Permi
102004,Petty Cash - Legal
102005,Petty Cash - Police Patrol
102006,Change Fund - CC Box Office
102007,Change Fund - CivC Concessions
102008,Petty Cash - Finance Admin
102009,Change Fund - Purchasing
102010,Change Fund - Aston Park
102011,Change Fund - Malvern Pool
102012,Change Fund - Nature Center
102013,Change Fund - Golf Course
102014,Change Fund - Skateboard Park
102015,Petty Cash - PW Fleet
102016,Change Fund - Montford Center
102017,Petty Cash - Fire Admin
102018,Petty Cash - City Managers Off
102019,Petty Cash - Recreation
102020,Change Fund - Parking Garages
102021,Change Fund - Rec Park Pool
102022,Petty Cash - Festivals
102023,Change Fund - Walton St Pool
102024,Petty Cash - Public Works Admi
102025,Petty Cash - Police Admin.
102026,Petty Cash - Transit
111001,Income From Investments
111002,Riverside Cemetery - Short Ter
111003,ACC Principal UBS - Short Term
111004,ACC Interest UBS - Short Term
111005,NCCMT/Federal Seizure Funds
111006,NCCMT/State Seizure Funds
111007,Investment-Purchased Interest
111008,Premium/Discount on Investment
111009,Main Investments
111010,NCCMT - General Fund Cash
111011,NCCMT - Gen Fund Term
111012,NCCMT - 08 Lease Purchase
111016,Mark to Market
111017,Mark to Market (Contra)
111018,Mark to Market - Investments
111022,Mark to Market - Cemetery
111050,Certificate of Deposits
111790,NC State Treasurer - STIF
111791,NC State Treasurer - LTIF
111792,US Equity Funds
111793,International Equity Funds
111799,OPEB Acct Cash
112000,COPS 97A Principal
112001,COPS 97A Interest
112002,COPS 97B Principal
112003,COPS 97B Interest
112004,COPS 97C Principal
112005,COPS 97C Interest
112006,Revenue 05 Principal
112007,Revenue 05 Interest
112008,Revenue 07 Principal
112009,Revenue 07 Interest
112010,Construction Funds
112011,GO 99 Refunding Reserve
112012,Revenue 05 Refunding
112013,Revenue 01 Proceeds
112014,GO 99 Refunding
112015,Transit Stabilization Account
121000,Prop Tax Rec - Undistribut Tax
121098,Prop Tax Receivable - 1998
121099,Prop Tax Receivable - 1999
121100,Prop Tax Receivable - 2000
121101,Prop Tax Receivable - 2001
121102,Prop Tax Receivable - 2002
121103,Prop Tax Receivable - 2003
121104,Prop Tax Receivable - 2004
121105,Prop Tax Receivable - 2005
121106,Prop Tax Receivable - 2006
121107,Prop Tax Receivable - 2007
121108,Prop Tax Receivable - 2008
121109,Prop Tax Receivable - 2009
121110,Prop Tax Receivable - 2010
121111,Prop Tax Receivable - 2011
121112,Prop Tax Receivable - 2012
121113,Prop Tax Receivable - 2013
122000,DMV Tax Rec - Undistribute Tax
122098,DMV Tax Receivable - 1998
122099,DMV Tax Receivable - 1999
122100,DMV Tax Receivable - 2000
122101,DMV Tax Receivable - 2001
122102,DMV Tax Receivable - 2002
122103,DMV Tax Receivable - 2003
122104,DMV Tax Receivable - 2004
122105,DMV Tax Receivable - 2005
122106,DMV Tax Receivable - 2006
122107,DMV Tax Receivable - 2007
122108,DMV Tax Receivable - 2008
122109,DMV Tax Receivable - 2009
122110,DMV Tax Receivable - 2010
122111,DMV Tax Receivable - 2011
122112,DMV Tax Receivable - 2012
122113,DMV Tax Receivable - 2013
122200,Tax Coll Adjustments
123000,Accts Rec
123001,Accts Rec - Auction
123002,Accts Rec - Accruals
123003,Accts Rec - Holiday Inn Airpor
123004,Accts Rec - Water
123005,Accts Rec - Sewer
123006,Accts Rec - Recycling
123007,Accts Rec - Service Station
123008,Accts Rec - Water Deposits
123009,Accts Rec - Container Charge
123010,Accts Rec - NSF
123011,Accts Rec - Event Settlement
123012,Accts Rec - Capital Impvmt Fee
123013,Accts Rec - Due from Curr Emp
123014,Accts Rec - Privilege License
123015,Accts Rec-Advance Deposit
123016,Accts Rec - Retiree
123017,Accts Rec - Due from Sep Emp
123018,Accts Rec - IRS Civil Penalty
123019,Accts Rec - Prepaid Sales Tax
123020,Accts Rec -MSD Treatment
123021,Accts Rec - MSD Maintenance
123022,Accts Rec-Water Customer Serv.
123023,Accts Rec - CiteZone
123024,Acct Rec - White Goods Pickup
123030,Accts Rec-Building Maintenance
123035,Accts Rec - Rents
123040,Accts Rec - Radios O/S Agencie
123041,Accts Rec - Tower Rentals
123042,Accts Rec - Rental Inc Tower
123043,Accts Rec - Rent Fiber Franchi
123044,Accts Rec - Misc IT
123045,Accts Rec - Snack Shop
123050,Accts Rec - Prop Ins Prem
123055,Accts Rec - Pack Place
123056,Accts Rec - Golf Course Mgmt
123060,Accts Rec - Fire Insp Fee
123061,Accts Rec - Fire InspManditory
123062,Accts Rec - Noise Ord Fine
123063,Accts Rec - Police Escort Serv
123064,Accts Rec - Police Hous Auth
123065,Accts Rec - Wrecker Fees
123066,Accts Rec - Cry Wolf
123070,Accts Rec - Recycling Charge
123071,Accts Rec - PSNC Patch
123072,Accts Rec - Manhole Billing
