FROM,2011,1,TO,2011,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6200,Parking Services Fund,,,,,,
,,,,,,,
21,Transportation Department,,,,,,
,,,,,,,
220,Parking Garage Divison,,,,,,
,,,,,,,
62000220,Pk Svcs Fd - Parking Garage,,,,,,
,,,,,,,
6200-20-21-220-0000-00000-00000-000-460000- Income from Investments                       ,-20000,0,-20000,-12100.41,0,-7899.59,60.50%
6200-20-21-220-0000-00000-00000-000-482401- Fines & Fees Civ Ctr Gar Pkng                 ,0,0,0,-5,0,5,0.00%
6200-20-21-220-0000-00000-00000-000-482403- Fines & Fees After Hrs Parking                ,-210000,0,-210000,-281913.24,0,71913.24,134.20%
6200-20-21-220-0000-00000-00000-000-482404- Fines & Fees Pkng Gar Monthly                 ,-400000,0,-400000,-347320.39,0,-52679.61,86.80%
6200-20-21-220-0000-00000-00000-000-482405- Fines & Fees Pkng Gar Sp Evnts                ,-150000,0,-150000,-199600.13,0,49600.13,133.10%
6200-20-21-220-0000-00000-00000-000-482406- Fines & Fees Pkng Gar Transnt                 ,-330000,0,-330000,-478626.54,0,148626.54,145.00%
6200-20-21-220-0000-00000-00000-000-482480- Fines & Fees Return Check Chg                 ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-482482- Fines & Fees Interest - Late C                ,0,0,0,-288.16,0,288.16,0.00%
6200-20-21-220-0000-00000-00000-000-484400- Rents - Rental Income                         ,0,0,0,-15260,0,15260,0.00%
6200-20-21-220-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,-109000,-109000,-1650,0,-107350,1.50%
6200-20-21-220-0000-00000-00000-000-492002- Proceeds of Debt - refunding                  ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-492003- Proceeds of Debt - Refund Prem                ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-605000,-605000,0,0,-605000,0.00%
6200-20-21-220-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,-109000,5516,-103484,0,0,-103484.23,0.00%
6200-20-21-220-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,276625,0,276625,202894.7,0,73730.3,73.30%
6200-20-21-220-0000-00000-00000-000-511002- Compensation - Part Time                      ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,0,0,0,0.00%
6200-20-21-220-0000-00000-00000-000-511004- Compensation - Overtime                       ,3000,0,3000,1537.63,0,1462.37,51.30%
