Segment Code,Description
031,Accounting Division
01a,Administration
032,Budget Division
010,Budget Division
131,Building Maintenance
801,Business Services Division
999,CAFR Preparation
012,City Clerk Division
014,City Hall Operations
013,City Manager
900,Civic Center Administration
905,Civic Center Capital Division
412,Community Development Division
807,Community Program
015,Community Relations
904,Concessions Division
916,Construction Crew Division
121,Criminal Investigations Div
802,Cultural Arts Division
912,Customer Service Division
070,Economic Development Division
111,Emergency Response Division
062,Employee Health Contributions
330,Engineering Services Division
901,Event Personnel Division
129,FICA Tax Exp-Police Sep Allow
030,Finance Administration
112,Fire Marshals Office Division
110,Fire Support Services Division
313,Fleet Management Division
100,GASB 34 General Revenues
038,General Insurance and Bonds
054,GIS Appl Services Division
830,Golf Course
011,Governing Body Division
036,Group Health Life & Dental
043,Group Health Life & Dental
041,Health Clinic Services
411,Historic Resources Division
040,Human Resources Administration
050,Information Services
061,Inter-Extra Goverment Services
064,Intergovernmental Transfers
051,IT Administration Division
052,IT Support Services Division
020,Legal Division
918,Maintenance & Repairs Division
914,Meter Services Division
000,No Division
060,Non-Divisional
902,Operations Division
042,Organizational Development
220,Parking Garage Divison
221,Parking Services Division
800,Parks Administration Division
803,Parks Maintenance Division
122,Patrol Division
130,Permitting & Inspections Div
804,Planning & Development Div
410,Planning Services Division
063,Police - Fire Disability
120,Police Administration Division
124,Police Separation Allowance
123,Police Support Division
310,Public Works Administration
018,Purchasing Central Stores
017,Purchasing Operations Division
805,Recreation Division
019,Risk Management Division
311,Sanitation Division
91a,Sewer Capital Projects
806,Specialized Facilities Div
320,Stormwater Admin Division
314,Street Cuts Division
232,Street Lighting Division
231,Streets & Sidewalks Division
016,Sustainability Division
053,Technical Services Division
903,Ticket Office
213,Traffic Engineering Division
950,Transit Administration Div
951,Transit Operations Division
210,Transportation Admin Div
212,Transportation Planning Div
910,Water Administration
919,Water Conservation Division
915,Water Engineering Division
911,Water General Operations Div
917,Water Operating Equipment Div
913,Water Production Division
037,Workers Compensation
