FROM,2011,1,TO,2011,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6240,Stormwater Fund,,,,,,
,,,,,,,
31,Public Works Department,,,,,,
,,,,,,,
320,Stormwater Admin Division,,,,,,
,,,,,,,
62400320,Stormw Fd - Stormw Admin Div,,,,,,
,,,,,,,
6240-30-31-320-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-437100- Restrictd Intergv Otr Loc Part                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443100- Lic. & Permits - Permit Fees                  ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443102- Lic. & Prmts - Permit Fee Disc                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443120- Lic. & Prmt - Permit Violation                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443121- Lic.&Prmt-W/O Permit Violation                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443200- Lic. & Prmts - Inspection Fees                ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-443504- Bldg Permits & Insp Soil Erosn                ,-150000,0,-150000,-171780.83,0,21780.83,114.50%
6240-30-31-320-0000-00000-00000-000-443505- Bldg Permits & Insp Stormwater                ,-20000,0,-20000,-18160,0,-1840,90.80%
6240-30-31-320-0000-00000-00000-000-443517- Bldg Permits & Insp Floodplain                ,-10000,0,-10000,-16500,0,6500,165.00%
6240-30-31-320-0000-00000-00000-000-450012- Delinquent & Interest Fee                     ,-40000,0,-40000,-111531.62,0,71531.62,278.80%
6240-30-31-320-0000-00000-00000-000-450700- Utility Charges                               ,-2625218,0,-2625218,-2806462.94,0,181244.94,106.90%
6240-30-31-320-0000-00000-00000-000-460000- Income from Investments                       ,-30000,0,-30000,-7106.76,0,-22893.24,23.70%
6240-30-31-320-0000-00000-00000-000-481455- Fines & Fees Permit Penalties                 ,-20000,0,-20000,-6800,0,-13200,34.00%
6240-30-31-320-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-492000- Installment Purch Proceed                     ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-493000- Debt Proceeds - DENR Funded                   ,0,0,0,0,0,0,0.00%
6240-30-31-320-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-360000,-360000,0,0,-360000,0.00%
