FROM,2012,1,TO,2012,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6220,Street Cut Utility Fund,,,,,,
,,,,,,,
31,Public Works Department,,,,,,
,,,,,,,
314,Street Cuts Division,,,,,,
,,,,,,,
62200314,Street Cut Fd - Street Cut Div,,,,,,
,,,,,,,
6220-20-31-314-0000-00000-00000-000-435997- Fed Revenue Distribut - FEMA                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-436997- State Revenue Distri - FEMA                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450002- Sales & Serv - Street Patches                 ,-591312,0,-591312,-1270685.45,0,679373.45,214.90%
6220-20-31-314-0000-00000-00000-000-450003- Sales & Serv - Cap Recov Fee                  ,0,0,0,-216643.42,0,216643.42,0.00%
6220-20-31-314-0000-00000-00000-000-450004- Sales & Services - Permit Fees                ,-80000,0,-80000,-54268.65,0,-25731.35,67.80%
6220-20-31-314-0000-00000-00000-000-450006- Sales & Serv - Degredation Fee                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450008- Sales & Serv - Overlay Fees                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-460000- Income from Investments                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-482482- Fines & Fees Interest - Late C                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-492000- Installment Purch Proceed                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-492001- Installment Purch Premiums                    ,0,-1949,-1949,0,0,-1949,0.00%
6220-20-31-314-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-5854,-5854,0,0,-5854,0.00%
6220-20-31-314-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-60050,-60050,0,0,-60049.98,0.00%
6220-20-31-314-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,543342,5000,548342,546366.43,0,1975.57,99.60%
6220-20-31-314-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511004- Compensation - Overtime                       ,16000,6600,22600,23072.61,0,-472.61,102.10%
6220-20-31-314-0000-00000-00000-000-511008- Compensation - Stand By Pay                   ,5200,0,5200,4717.09,0,482.91,90.70%
6220-20-31-314-0000-00000-00000-000-511997- Contra Salaries and Wages FEMA                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512001- FICA Tax Expense                              ,39451,1500,40951,40520.5,0,430.5,98.90%
6220-20-31-314-0000-00000-00000-000-512002- Employer - LGERS                              ,33525,6400,39925,39610.71,0,314.29,99.20%
6220-20-31-314-0000-00000-00000-000-512005- Employer - 401(K)                             ,25785,3500,29285,28959.92,0,325.08,98.90%
6220-20-31-314-0000-00000-00000-000-512010- Workers Compensation                          ,12695,0,12695,12695,0,0,100.00%
6220-20-31-314-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512012- Vehicle Allowance                             ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512014- Group Insurance Expense                       ,156179,0,156179,156179,0,0,100.00%
6220-20-31-314-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,5854,5854,5853.19,0,0.81,100.00%
6220-20-31-314-0000-00000-00000-000-521001- Contracted Services                           ,1000,206,1206,297.66,0,908.73,24.70%
6220-20-31-314-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,272,0,272,0,0,272,0.00%
6220-20-31-314-0000-00000-00000-000-521009- Services - Advertising                        ,1000,0,1000,0,0,1000,0.00%
6220-20-31-314-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,2500,0,2500,940.07,0,1559.93,37.60%
6220-20-31-314-0000-00000-00000-000-522997- Maint & Repairs - FEMA                        ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-523001- Training                                      ,6000,3876,9876,10285.21,0,-409.21,104.10%
6220-20-31-314-0000-00000-00000-000-523002- Dues & Subscriptions                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524001- Supplies - Other                              ,187115,-108157,78958,13016.36,0,65941.85,16.50%
6220-20-31-314-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,10000,-2950,7050,804.67,0,6245.33,11.40%
6220-20-31-314-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,500,0,500,0,0,500,0.00%
6220-20-31-314-0000-00000-00000-000-524005- Supplies - Uniforms                           ,2000,4451,6451,6427.88,0,22.72,99.60%
6220-20-31-314-0000-00000-00000-000-524101- Materials                                     ,254250,73765,328015,294419.7,0,33595.08,89.80%
6220-20-31-314-0000-00000-00000-000-524997- Contra Non-Labor - FEMA                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-525001- Insurance & Bonds                             ,15495,0,15495,15495,0,0,100.00%
6220-20-31-314-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,1000,0,1000,412,0,588,41.20%
6220-20-31-314-0000-00000-00000-000-528013- Contingencies                                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528102- Tipping Fees                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528202- Bad Debts                                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528502- Telephone                                     ,500,0,500,384,0,116,76.80%
6220-20-31-314-0000-00000-00000-000-528503- Long Distance                                 ,0,0,0,0,0,0,0.00%
