FROM,2012,1,TO,2012,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6100,Water Services Fund,,,,,,
,,,,,,,
91,Water Department,,,,,,
,,,,,,,
910,Water Administration,,,,,,
,,,,,,,
61000910,Wtr Svc Fd - Water Admin,,,,,,
,,,,,,,
6100-91-91-910-0000-00000-00000-000-450010- Charges for Services                          ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-450012- Delinquent & Interest Fee                     ,-830000,0,-830000,-1026503.76,0,196503.76,123.70%
6100-91-91-910-0000-00000-00000-000-450705- Water Availability                            ,-40000,0,-40000,-48262.08,0,8262.08,120.70%
6100-91-91-910-0000-00000-00000-000-450706- Water Reservation Fees                        ,-16000,0,-16000,-11128,0,-4872,69.60%
6100-91-91-910-0000-00000-00000-000-453100- Chrgs for Serv-Plan Review Fee                ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,469460,35717,505177,504985.71,0,191.29,100.00%
6100-91-91-910-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,238,238,237.47,0,0.53,99.80%
6100-91-91-910-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,426,426,425.58,0,0.42,99.90%
6100-91-91-910-0000-00000-00000-000-511010- Quality of Serv Award                         ,2500,6900,9400,8998.11,0,401.89,95.70%
6100-91-91-910-0000-00000-00000-000-512001- FICA Tax Expense                              ,35914,1650,37564,37551.4,0,12.6,100.00%
6100-91-91-910-0000-00000-00000-000-512002- Employer - LGERS                              ,32299,3021,35320,35326.27,0,-6.27,100.00%
6100-91-91-910-0000-00000-00000-000-512005- Employer - 401(K)                             ,23473,2205,25678,25672.86,0,5.14,100.00%
6100-91-91-910-0000-00000-00000-000-512012- Vehicle Allowance                             ,4800,112,4912,4818.58,0,93.42,98.10%
6100-91-91-910-0000-00000-00000-000-512014- Group Insurance Expense                       ,62475,0,62475,62475,0,0,100.00%
6100-91-91-910-0000-00000-00000-000-512018- Phone Allowance                               ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,23547,23547,23546.88,0,0.12,100.00%
6100-91-91-910-0000-00000-00000-000-521001- Contracted Services                           ,25000,32700,57700,44291.57,0,13408.43,76.80%
6100-91-91-910-0000-00000-00000-000-521004- Rental/Lease                                  ,7000,-200,6800,5163.96,0,1636.04,75.90%
6100-91-91-910-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-521009- Services - Advertising                        ,1000,-1000,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-522001- Maintenance and Repairs                       ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-523001- Training                                      ,7000,-50,6950,8545.48,0,-1595.48,123.00%
6100-91-91-910-0000-00000-00000-000-523002- Dues & Subscriptions                          ,30000,4600,34600,25571.66,0,9028.34,73.90%
6100-91-91-910-0000-00000-00000-000-524001- Supplies - Other                              ,10000,3146,13146,10092.53,0,3053.9,76.80%
6100-91-91-910-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,30000,16053,46053,37358.59,0,8694.78,81.10%
6100-91-91-910-0000-00000-00000-000-528502- Telephone                                     ,3000,0,3000,2496,0,504,83.20%
6100-91-91-910-0000-00000-00000-000-528503- Long Distance                                 ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-528504- Radio Charges                                 ,0,0,0,0,0,0,0.00%
6100-91-91-910-0000-00000-00000-000-528505- Cellular Usage                                ,4000,0,4000,3092.17,0,907.83,77.30%
6100-91-91-910-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,300,300,-543.36,0,843.36,181.10%
6100-91-91-910-0000-00000-00000-000-571002- Fleet Fuel Charges                            ,0,900,900,1035.92,0,-135.92,115.10%
6100-91-91-910-0000-00000-00000-000-571004- Motor Pool Charges                            ,0,0,0,0,0,0,0.00%
,,,,,,,
TOTAL Water Administration          ,-138079,130265,-7814,-244751.46,0,236938.26,      %
,,,,,,,
,,,,,,,
911,Water General Operations Div,,,,,,
,,,,,,,
61000911,Wtr Svc Fd - Water Gen Oper,,,,,,
,,,,,,,
6100-91-91-911-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,0,0,0,0,0,0,0.00%
6100-91-91-911-0000-00000-00000-000-436001- FEMA 2010 State Storm Reimburs                ,0,0,0,0,0,0,0.00%
6100-91-91-911-0000-00000-00000-000-450010- Charges for Services                          ,0,0,0,0,0,0,0.00%
6100-91-91-911-0000-00000-00000-000-450503- Bottled Water Sales                           ,0,0,0,0,0,0,0.00%
6100-91-91-911-0000-00000-00000-000-450707- Technology Fee                                ,0,0,0,0,0,0,0.00%
6100-91-91-911-0000-00000-00000-000-460000- Income from Investments                       ,-225000,0,-225000,-190627.33,0,-34372.67,84.70%
6100-91-91-911-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,-42598.03,0,42598.03,0.00%
6100-91-91-911-0000-00000-00000-000-488012- Reimbursement                                 ,0,0,0,-42602.3,0,42602.3,0.00%
6100-91-91-911-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,-333923.5,0,333923.5,0.00%
6100-91-91-911-0000-00000-00000-000-498001- Charges to Other Funds                        ,0,-45000,-45000,-45000,0,0,100.00%
6100-91-91-911-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-291651,-291651,0,0,-291651,0.00%
6100-91-91-911-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-801043,-801043,0,0,-801043.41,0.00%
