Type,FY 2014 Actual,School System,Fund,Group,Account
Expense,29,Buncombe County Schools,Local Current Expense Fund,Ancillary Services,Nutrition Services
Expense,685,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Special Populations Services
Revenue,791,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Homeless
Expense,1260,Asheville City Schools,Other Specific Revenue Fund,Non-programmed Charges,Indirect Cost
Expense,1933,Buncombe County Schools,Other Specific Revenue Fund,Ancillary Services,Community Services
Expense,2138,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,"Policy, Leadership & Public Info Services"
Revenue,3618,Asheville City Schools,Capital Outlay Fund,Local Funds,Interest Earned
Expense,3622,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Financial & Human Resource Services
Expense,4443,Asheville City Schools,Local Current Expense Fund,Ancillary Services,Nutrition Services
Revenue,5018,Asheville City Schools,Capital Outlay Fund,Local Funds,Sale of School Property
Revenue,5175,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Z Smith Reynolds
Revenue,5809,Asheville City Schools,Capital Outlay Fund,Local Funds,Contributions and Donations
Revenue,6315,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Interest Earned
Revenue,6649,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Avery County-MSP Grant
Expense,8777,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Accountability Services
Expense,10096,Asheville City Schools,Capital Outlay Fund,System-wide Support Services,Technology Support Services
Expense,10159,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Special Populations Services
Revenue,10196,Asheville City Schools,Capital Outlay Fund,Federal Funds,FEMA Disaster
Expense,10459,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Accountability Services
Revenue,11494,Asheville City Schools,Capital Outlay Fund,Local Funds,QZAB through SCCF - AHS
Expense,13774,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Regular Instructional Services
Revenue,14000,Asheville City Schools,Capital Outlay Fund,Local Funds,Local Grant from ACSF
Revenue,14045,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Rental of School Property
Revenue,23038,Asheville City Schools,Local Current Expense Fund,Revenues,Interest Earned
Expense,24801,Asheville City Schools,Capital Outlay Fund,Non-programmed Charges,Transfers to Other Funds
Revenue,25000,Asheville City Schools,Other Specific Revenue Fund,Local Grants/Contracts,Sisters of Mercy
Expense,27081,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,System-wide Pupil Support Services
Revenue,27890,Buncombe County Schools,Local Current Expense Fund,Revenues,State of North Carolina
Expense,29399,Buncombe County Schools,Other Specific Revenue Fund,Ancillary Services,Nutrition Services
Revenue,30101,Asheville City Schools,Capital Outlay Fund,Local Funds,Insurance Reimbursements
Revenue,30397,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,NC Quest Grant
Revenue,32437,Asheville City Schools,Capital Outlay Fund,Local Funds,Sales Tax Refunds
Revenue,34988,Buncombe County Schools,Capital Outlay Fund,Local Funds,Interest Earned
Expense,37373,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Technology Support Services
Expense,38806,Buncombe County Schools,Capital Outlay Fund,Ancillary Charges,Ancillary Charges
Revenue,39450,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Sales Tax Refunds
Revenue,40272,Buncombe County Schools,Other Specific Revenue Fund,Local Funds,Interest Earned
Revenue,45075,Buncombe County Schools,Capital Outlay Fund,Local Funds,Contributions and Donations
Expense,45759,Buncombe County Schools,Other Specific Revenue Fund,Instructional Services,School Leadership Services
Revenue,46421,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Impact Aid
Revenue,49121,Buncombe County Schools,Capital Outlay Fund,Local Funds,Insurance Reimbursements
Revenue,49747,Buncombe County Schools,Other Specific Revenue Fund,State Funds,State Funds
Revenue,50768,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Medicaid Administrative Outreach
Expense,51698,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Financial & Human Resource Services
Revenue,51843,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,JTPA
Expense,56004,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Alternative Programs & Services
Revenue,56274,Buncombe County Schools,Capital Outlay Fund,Local Funds,Sale of School Property
Revenue,59232,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Boroughs Wellcome
Revenue,63658,Buncombe County Schools,Other Specific Revenue Fund,Local Grants/Contracts,Paddison
Revenue,63805,Asheville City Schools,Other Specific Revenue Fund,Federal Funds,Marine Junior ROTC
Revenue,64277,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,APLUS Math/Science Grant
