Type,FY 2016 Proposed Budget,School System,Fund,Group,Account
Expense,690,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Special Populations Services
Expense,1345,Buncombe County Schools,Other Specific Revenue Fund,System-wide Support Services,Financial & Human Resource Services
Expense,2500,Buncombe County Schools,Other Specific Revenue Fund,Ancillary Services,Community Services
Expense,5000,Buncombe County Schools,Capital Outlay Fund,Ancillary Charges,Ancillary Charges
Revenue,5000,Asheville City Schools,Capital Outlay Fund,Local Funds,Interest Earned
Revenue,5000,Asheville City Schools,Capital Outlay Fund,Local Funds,Sale of School Property
Revenue,6000,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Interest Earned
Revenue,7544,Buncombe County Schools,Other Specific Revenue Fund,Federal Funds,Avery County-MSP Grant
Expense,8995,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Accountability Services
Expense,9282,Buncombe County Schools,Local Current Expense Fund,Ancillary Services,Nutrition Services
Expense,10000,Asheville City Schools,Capital Outlay Fund,Non-programmed Charges,Contingency
Expense,10000,Buncombe County Schools,Capital Outlay Fund,System-wide Support Services,Operational Support Services
Expense,10010,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,Special Populations Services
Expense,13444,Asheville City Schools,Local Current Expense Fund,Ancillary Services,Nutrition Services
Expense,15000,Asheville City Schools,Capital Outlay Fund,System-wide Support Services,Technology Support Services
Revenue,15000,Asheville City Schools,Other Specific Revenue Fund,Local Funds,Rental of School Property
Expense,18629,Asheville City Schools,Other Specific Revenue Fund,System-wide Support Services,System-wide Pupil Support Services
Revenue,20000,Asheville City Schools,Local Current Expense Fund,Revenues,Interest Earned
Expense,25000,Asheville City Schools,Capital Outlay Fund,Non-programmed Charges,Transfers to Other Funds
Revenue,25000,Buncombe County Schools,Local Current Expense Fund,Revenues,State of North Carolina
Revenue,25000,Buncombe County Schools,Capital Outlay Fund,Local Funds,Interest Earned
Revenue,25000,Buncombe County Schools,Capital Outlay Fund,Local Funds,Insurance Reimbursements
