Type,Budget Amount,Fund,Department,Program,Account Type,Account,Budget Year
EXPENSE,37000,Home Grant,Community Development,Grant Year 11/12,Interfund Transfers In/Out,To 100 Ind Cost,2012
EXPENSE,20000,Home Grant,Community Development,Grant Year 11/12,Other Expense,Service Fees - Gr,2012
EXPENSE,100942,Home Grant,Community Development,Grant Year 11/12,Other Expense,Administration - Gr,2012
EXPENSE,988359,Home Grant,Community Development,Grant Year 11/12,Other Expense,Program Expenditures - Gr,2012
EXPENSE,437964,Home Grant,Community Development,Grant Year 11/12,Other Expense,Rehabilitation/Rehab Loans - G,2012
EXPENSE,6888,General Fund,Payroll,Adm-Finance,Employee Benefits,Medicare,2012
EXPENSE,1240,General Fund,Payroll,Adm-Finance,Employee Benefits,FICA Temp,2012
EXPENSE,9778,General Fund,Payroll,Adm-Finance,Salaries and Wages,Longevity,2012
EXPENSE,32680,General Fund,Payroll,Adm-Finance,Employee Benefits,Retirement,2012
EXPENSE,463313,General Fund,Payroll,Adm-Finance,Salaries and Wages,Salaries-Ft,2012
EXPENSE,290,General Fund,Payroll,Adm-Finance,Employee Benefits,Medicare Temp,2012
EXPENSE,4835,General Fund,Payroll,Adm-Finance,Direct Expenses,Computer Lease,2012
EXPENSE,1892,General Fund,Payroll,Adm-Finance,Salaries and Wages,Merit Increase,2012
EXPENSE,3000,General Fund,Payroll,Adm-Finance,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,22,General Fund,Payroll,Adm-Finance,Salaries and Wages,Range Increase,2012
EXPENSE,-4249,General Fund,Payroll,Adm-Finance,Employee Benefits,457 Plan Offset,2012
EXPENSE,-1892,General Fund,Payroll,Adm-Finance,Salaries and Wages,Earnings Offset,2012
EXPENSE,10500,General Fund,Payroll,Adm-Finance,Direct Expenses,Office Supplies,2012
EXPENSE,2681,General Fund,Payroll,Adm-Finance,Direct Expenses,Photocopy Maint,2012
EXPENSE,310,General Fund,Payroll,Adm-Finance,Employee Benefits,Retirement Temp,2012
EXPENSE,1000,General Fund,Payroll,Adm-Finance,Direct Expenses,Small Equipment,2012
EXPENSE,29450,General Fund,Payroll,Adm-Finance,Employee Benefits,Social Security,2012
EXPENSE,3003,General Fund,Payroll,Adm-Finance,Employee Benefits,Dental Insurance,2012
EXPENSE,45864,General Fund,Payroll,Adm-Finance,Employee Benefits,Health Insurance,2012
EXPENSE,428,General Fund,Payroll,Adm-Finance,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,6000,General Fund,Payroll,Adm-Finance,Direct Expenses,Repairs-Office Equip,2012
EXPENSE,12877,General Fund,Payroll,Adm-Finance,Employee Benefits,Supplemental Retirement,2012
EXPENSE,1000,General Fund,Payroll,Adm-Finance,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,5000,General Fund,Payroll,Adm-Finance,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,15000,General Fund,Payroll,Adm-Finance,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,-4147,General Fund,Payroll,Adm-Finance,Employee Benefits,Health Insurance Increment,2012
EXPENSE,1000,General Fund,Payroll,Adm-Finance,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,9000,General Fund,Payroll,Adm-Finance,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,12266,General Fund,Revenue,Adm-Finance,Employee Benefits,Medicare,2012
EXPENSE,5520,General Fund,Revenue,Adm-Finance,Salaries and Wages,Longevity,2012
EXPENSE,58199,General Fund,Revenue,Adm-Finance,Employee Benefits,Retirement,2012
EXPENSE,7000,General Fund,Revenue,Adm-Finance,Miscellaneous,Advertising,2012
EXPENSE,832550,General Fund,Revenue,Adm-Finance,Salaries and Wages,Salaries-Ft,2012
EXPENSE,75,General Fund,Revenue,Adm-Finance,Miscellaneous,Mileage Reimb,2012
EXPENSE,23912,General Fund,Revenue,Adm-Finance,Direct Expenses,Computer Lease,2012
EXPENSE,7802,General Fund,Revenue,Adm-Finance,Salaries and Wages,Merit Increase,2012
EXPENSE,1000,General Fund,Revenue,Adm-Finance,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,46,General Fund,Revenue,Adm-Finance,Salaries and Wages,Range Increase,2012
EXPENSE,-6381,General Fund,Revenue,Adm-Finance,Employee Benefits,457 Plan Offset,2012
EXPENSE,-7802,General Fund,Revenue,Adm-Finance,Salaries and Wages,Earnings Offset,2012
EXPENSE,8750,General Fund,Revenue,Adm-Finance,Direct Expenses,Office Supplies,2012
EXPENSE,2881,General Fund,Revenue,Adm-Finance,Direct Expenses,Photocopy Maint,2012
EXPENSE,52447,General Fund,Revenue,Adm-Finance,Employee Benefits,Social Security,2012
EXPENSE,6886,General Fund,Revenue,Adm-Finance,Employee Benefits,Dental Insurance,2012
EXPENSE,111110,General Fund,Revenue,Adm-Finance,Employee Benefits,Health Insurance,2012
EXPENSE,761,General Fund,Revenue,Adm-Finance,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,1008,General Fund,Revenue,Adm-Finance,Direct Expenses,Wireless Data Comm,2012
EXPENSE,252,General Fund,Revenue,Adm-Finance,Direct Expenses,A/R Collection Fees,2012
EXPENSE,500,General Fund,Revenue,Adm-Finance,Direct Expenses,Repairs-Office Equip,2012
EXPENSE,74016,General Fund,Revenue,Adm-Finance,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,5200,General Fund,Revenue,Adm-Finance,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,19337,General Fund,Revenue,Adm-Finance,Employee Benefits,Supplemental Retirement,2012
EXPENSE,581,General Fund,Revenue,Adm-Finance,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,500,General Fund,Revenue,Adm-Finance,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,-10047,General Fund,Revenue,Adm-Finance,Employee Benefits,Health Insurance Increment,2012
EXPENSE,68011,General Fund,Revenue,Adm-Finance,Direct Expenses,Computer Operations & Access,2012
EXPENSE,6000,General Fund,Revenue,Adm-Finance,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,8423,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Medicare,2012
EXPENSE,719,General Fund,Fire Adm,Admn-Ps,Employee Benefits,FICA Temp,2012
EXPENSE,8449,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Longevity,2012
EXPENSE,39965,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Retirement,2012
EXPENSE,570408,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Salaries-Ft,2012
EXPENSE,168,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Medicare Temp,2012
EXPENSE,7665,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Computer Lease,2012
EXPENSE,2007,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Merit Increase,2012
EXPENSE,3100,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,21,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Range Increase,2012
EXPENSE,-5751,General Fund,Fire Adm,Admn-Ps,Employee Benefits,457 Plan Offset,2012
EXPENSE,-2007,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Earnings Offset,2012
EXPENSE,4195,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Office Supplies,2012
EXPENSE,1782,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Photocopy Maint,2012
EXPENSE,595,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Retirement Temp,2012
EXPENSE,36015,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Social Security,2012
EXPENSE,3289,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Dental Insurance,2012
EXPENSE,63232,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Health Insurance,2012
EXPENSE,523,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,1123,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Rsv-Wide Area Network,2012
EXPENSE,25000,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,17427,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Supplemental Retirement,2012
EXPENSE,1312772,General Fund,Fire Adm,Admn-Ps,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,100,General Fund,Fire Adm,Admn-Ps,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,9600,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,2000,General Fund,Fire Adm,Admn-Ps,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,-5718,General Fund,Fire Adm,Admn-Ps,Employee Benefits,Health Insurance Increment,2012
EXPENSE,23950,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Computer Operations & Access,2012
EXPENSE,764,General Fund,Fire Adm,Admn-Ps,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,5950,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,105,General Fund,Fire Adm,Admn-Ps,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,38408,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Medicare,2012
EXPENSE,4620,General Fund,Planning,Transportation Planning,Employee Benefits,Medicare,2012
EXPENSE,665,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,FICA Temp,2012
EXPENSE,120,General Fund,Planning,Transportation Planning,Employee Benefits,FICA Temp,2012
EXPENSE,49556,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Longevity,2012
EXPENSE,3016,General Fund,Planning,Transportation Planning,Salaries and Wages,Longevity,2012
EXPENSE,192229,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Retirement,2012
EXPENSE,21920,General Fund,Planning,Transportation Planning,Employee Benefits,Retirement,2012
EXPENSE,20000,General Fund,Planning,Adm-Comm Dev Svcs,Miscellaneous,Advertising,2012
EXPENSE,2726873,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Salaries-Ft,2012
EXPENSE,313804,General Fund,Planning,Transportation Planning,Salaries and Wages,Salaries-Ft,2012
EXPENSE,156,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Medicare Temp,2012
EXPENSE,28,General Fund,Planning,Transportation Planning,Employee Benefits,Medicare Temp,2012
EXPENSE,500,General Fund,Planning,Transportation Planning,Miscellaneous,Mileage Reimb,2012
EXPENSE,4536,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Wan Data Line,2012
EXPENSE,73657,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Computer Lease,2012
EXPENSE,5792,General Fund,Planning,Transportation Planning,Direct Expenses,Computer Lease,2012
EXPENSE,12522,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Merit Increase,2012
EXPENSE,1778,General Fund,Planning,Transportation Planning,Salaries and Wages,Merit Increase,2012
EXPENSE,80100,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,3000,General Fund,Planning,Transportation Planning,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,134,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Range Increase,2012
EXPENSE,14,General Fund,Planning,Transportation Planning,Salaries and Wages,Range Increase,2012
EXPENSE,-34249,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,457 Plan Offset,2012
EXPENSE,-2533,General Fund,Planning,Transportation Planning,Employee Benefits,457 Plan Offset,2012
EXPENSE,-16954,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Earnings Offset,2012
EXPENSE,-1778,General Fund,Planning,Transportation Planning,Salaries and Wages,Earnings Offset,2012
EXPENSE,52500,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Office Supplies,2012
EXPENSE,3150,General Fund,Planning,Transportation Planning,Direct Expenses,Office Supplies,2012
EXPENSE,10218,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Photocopy Maint,2012
EXPENSE,7500,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Small Equipment,2012
EXPENSE,500,General Fund,Planning,Transportation Planning,Direct Expenses,Small Equipment,2012
EXPENSE,164226,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Social Security,2012
EXPENSE,19754,General Fund,Planning,Transportation Planning,Employee Benefits,Social Security,2012
EXPENSE,18564,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Dental Insurance,2012
EXPENSE,2249,General Fund,Planning,Transportation Planning,Employee Benefits,Dental Insurance,2012
EXPENSE,322086,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Health Insurance,2012
EXPENSE,43277,General Fund,Planning,Transportation Planning,Employee Benefits,Health Insurance,2012
EXPENSE,4733,General Fund,Planning,Adm-Comm Dev Svcs,Salaries and Wages,Expense Allowance,2012
EXPENSE,1938,General Fund,Planning,Transportation Planning,Salaries and Wages,Expense Allowance,2012
EXPENSE,2510,General Fund,Planning,Adm-Comm Dev Svcs,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,287,General Fund,Planning,Transportation Planning,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,11670,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Wireless Data Comm,2012
EXPENSE,1440,General Fund,Planning,Transportation Planning,Direct Expenses,Wireless Data Comm,2012
EXPENSE,4000,General Fund,Planning,Appearance Comm,Other Expense,Boards & Commissions,2012
EXPENSE,3000,General Fund,Planning,Planning Commission,Other Expense,Boards & Commissions,2012
EXPENSE,88400,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Rental-Real Property,2012
EXPENSE,2500,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Repairs-Office Equip,2012
EXPENSE,1530,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Rsv-Wide Area Network,2012
EXPENSE,7500,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,10613,General Fund,Planning,Adm-Comm Dev Svcs,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,219741,General Fund,Planning,Pl Grant-Local Share-Tr,Other Expense,Grant Match City Share,2012
