Project Code,Description
1,CAFR-IS to BS Entries
A0801,Building Security Enhancement
A0901,General Capital Projects
A0902,General Special Revenue Project
B0901,One Stop Shop - PW
B1101,City Hall Repairs
B1102,National Guard Armory
B1201,Roof Replacements
B1202,HVAC Conversion to 410A
B1203,Municipal Building Chiller
B1204,Fire Extinguishing for Data Center
B1205,Fleet Building Vehicle Exhaust
B1206,General Facility Maintenance
B1207,Service Elevator Repairs
B1208,McCormick Field Lights
B1209,McCormick Field Resurface
B1301,Roof Replacement Program 2013
B1302,HVAC Sytem- Evidence Room
B1401,Roof Replacements Program FY 2014
B1402,City Hall elevator Automation
C0101,Main Cooling Tower
C0102,Air Handler Repair
C0103,Minor Cap Equipment
C0301,Exterior Repairs
C0601,Arena Roof Replacement
C0602,General Improvements
C0701,Standby Transformer
C0801,Smoke Hatches
C0802,Fire Alarms
C0803,Capital Reserves
C0804,Concourse Damage
C0901,Arena Seating
C0902,Emergency Lighting Gen
C0903,Portable Storage
C0904,NBDL Storage
C1001,Banquet Hall Renovation 2010
C1002,Marquee
C1003,Wolfe Fire Exits
C1004,Basketball Floor Repairs
C1101,Facility Improvements FY11
C1102,Lighting and Controls
C1103,Southern Conference Renovations
C1301,Southern Conference Renovations
D0511,Afford Housing Infrastructure
D0611,Rural Developement BARP
D0803,Fair Hous Assist Prog CY07-08
D0811,I40 Noise Wall Enhancement
D0903,Fair Hous Assist Prog CY08-09
D0904,Section 108 Rehab Loan 1
D0920,Act-Asheville Go Employ & Training
D0921,Act-Renaissance Phase I
D0922,Act-Burton St Community Cntr
D0923,Act-Burton St Traffic Calming
D0924,Act-Clingman Ave Infrastr
D0925,CDBG - Unallocated
D0926,Act-Finan & Ed Counseling
D0927,Act-Down Payment Assist - CDBG
D0928,Act-Emergency Repair I
D0929,Act-Emma Sidewalks
D0930,Act-Fair Housing
D0931,Act-Habitat Housing Services
D0932,Act-Hardship Relocation
D0933,Act-Helpmate Dom Violenc Serv
D0934,Act-Hillcrest Youth Enrichment
D0935,Act-Homebase Housing Services
D0936,Act-Homeless Initiative Coord
D0937,Act-Homeless Program
D0938,Act-Homeless Prevention Program
D0939,Act-Housing Services
D0940,Act-Lee Walker Heights
D0941,Act-McCormick Heights Reloc
D0942,Act-Micro-Business
D0943,Act-N Louisiana St Sidewalk
D0944,Act-NHS Single Fam Devel CDBG
D0945,Act-Pisgah View Community Cntr
D0946,Act-Emergeny Repair II
D0947,Act-Program Admin CDBG
D0948,Act-Rehab Admin
D0949,Act-Resources Development
D0950,Act-Section 108 Debt Service
D0951,Act-Small Business Loan
D0952,Act-SPS Redevelopment
D0953,Act-Transit Infrastructure Improv
D0954,Act-Supportive Housing Services
D0955,Act-Tech Assist in Weed & Seed
D0956,Act-Weed & Seed Weatherization
D0957,Act-Windsor Hotel Predevelop
D0958,Act-World Changers Home Repair
D0959,Act-Emergency Repair II
D0960,Act-Site Rehab
D0961,Act-Affordable Rental Housing
D0962,Act-American Drm Dwnpymnt Init
D0963,Act-Baker Heights
